QUARTER,YEAR,CSI
Jan.-Mar.,1960,100
Apr.-June,1960,93.3
Jul.-Sep.,1960,97.2
Oct.-Dec.,1960,90.1
Jan.-Mar.,1961,91.6
Apr.-June,1961,92.5
Jul.-Sep.,1961,99.2
Oct.-Dec.,1961,93
Jan.-Mar.,1962,99.9
Apr.-June,1962,95.4
Jul.-Sep.,1962,91.6
Oct.-Dec.,1962,95
Jan.-Mar.,1963,98.4
Apr.-June,1963,91.7
Jul.-Sep.,1963,96.4
Oct.-Dec.,1963,94.4
Jan.-Mar.,1964,99.5
Apr.-June,1964,98.5
Jul.-Sep.,1964,100.6
Oct.-Dec.,1964,99.9
Jan.-Mar.,1965,102
Apr.-June,1965,105.4
Jul.-Sep.,1965,103.4
Oct.-Dec.,1965,102.9
Jan.-Mar.,1966,100
Apr.-June,1966,95.7
Jul.-Sep.,1966,91.2
Oct.-Dec.,1966,88.3
Jan.-Mar.,1967,94.1
Apr.-June,1967,95.9
Jul.-Sep.,1967,97
Oct.-Dec.,1967,92.9
Jan.-Mar.,1968,97.2
Apr.-June,1968,92.4
Jul.-Sep.,1968,92.4
Oct.-Dec.,1968,91.7
Jan.-Mar.,1969,98.2
Apr.-June,1969,91.5
Jul.-Sep.,1969,86.4
Oct.-Dec.,1969,79.7
Jan.-Mar.,1970,78.1
Apr.-June,1970,75.4
Jul.-Sep.,1970,77.6
Oct.-Dec.,1970,72.4
Jan.-Mar.,1971,78.1
Apr.-June,1971,80.2
Jul.-Sep.,1971,82.1
Oct.-Dec.,1971,82
Jan.-Mar.,1972,92.8
Apr.-June,1972,88.6
Jul.-Sep.,1972,95.2
Oct.-Dec.,1972,90.7
Jan.-Mar.,1973,81.9
Apr.-June,1973,77
Jul.-Sep.,1973,72
Oct.-Dec.,1973,76.5
Jan.-Mar.,1974,61.8
Apr.-June,1974,72.1
Jul.-Sep.,1974,64.4
Oct.-Dec.,1974,59.5
Jan.-Mar.,1975,57.6
Apr.-June,1975,72.8
Jul.-Sep.,1975,75.7
Oct.-Dec.,1975,75.6
Jan.-Mar.,1976,84.6
Apr.-June,1976,83.3
Jul.-Sep.,1976,89.7
Oct.-Dec.,1976,87
Jan.-Mar.,1977,87.1
Apr.-June,1977,90.2
Jul.-Sep.,1977,89
Oct.-Dec.,1977,84.4
Jan.-Mar.,1978,82.6
Apr.-June,1978,81.8
Jul.-Sep.,1978,80
Oct.-Dec.,1978,73.8
Jan.-Mar.,1979,71.9
Apr.-June,1979,66.7
Jul.-Sep.,1979,63.7
Oct.-Dec.,1979,62.3
Jan.-Mar.,1980,63.9
Apr.-June,1980,54.4
Jul.-Sep.,1980,67.8
Oct.-Dec.,1980,72
Jan.-Mar.,1981,68.3
Apr.-June,1981,73.9
Jul.-Sep.,1981,74.8
Oct.-Dec.,1981,65.7
Jan.-Mar.,1982,66.6
Apr.-June,1982,66.2
Jul.-Sep.,1982,66.7
Oct.-Dec.,1982,72.5
Jan.-Mar.,1983,75
Apr.-June,1983,91.5
Jul.-Sep.,1983,91.2
Oct.-Dec.,1983,91.6
Jan.-Mar.,1984,99.5
Apr.-June,1984,96.6
