Country,Time,ngdpsa,hdisa,gssa,compsa,emplsa,sharep,neer,tot,hpi,ir_mort,ir_cons,oecd,imfdeveloped,eu,ea
Transformation,,gr,gr,gr,gr,gr,gr,gr,gr,gr,n,n,n,n,n,n
SA,,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Reciprocal,,n,n,n,n,n,n,n,n,n,y,y,n,n,n,n
AUS,1995-01-31 00:00:00,0.012789781,,4.720235033,53.30011197,67.09098,33.35089,95.85,72.9001544,31.783325,,7.5,1,1,0,1
AUS,1995-04-30 00:00:00,0.419946207,,4.720235033,53.30011197,67.61976,35.95206,89.413333,72.9001544,31.783325,,7.5,1,1,0,1
AUS,1995-07-31 00:00:00,2.261019595,,4.720235033,53.30011197,67.81106,37.92205,93.626667,72.9001544,31.783325,,7.5,1,1,0,1
AUS,1995-10-31 00:00:00,-0.018478794,,4.720235033,53.30011197,67.92979,38.15328,96.14,72.9001544,31.783325,,7.5,1,1,0,1
AUS,1996-01-31 00:00:00,1.646925525,,6.253161393,54.20781821,67.89287,40.04256,98.51,75.0571771,32.02885,,7.5,1,1,0,1
AUS,1996-04-30 00:00:00,0.637186891,,6.253161393,54.20781821,67.76708,39.83682,104.033333,75.0571771,32.02885,,7.5,1,1,0,1
AUS,1996-07-31 00:00:00,0.799296148,,6.253161393,54.20781821,67.56139,39.16984,103.57,75.0571771,32.02885,,7.47826087,1,1,0,1
AUS,1996-10-31 00:00:00,0.931677019,,6.253161393,54.20781821,67.44862,41.76069,105,75.0571771,32.02885,,7,1,1,0,1
AUS,1997-01-31 00:00:00,0.628896825,,3.293847873,53.33779639,67.43929,43.31374,105.886667,74.64151553,33.3057,,6,1,1,0,1
AUS,1997-04-30 00:00:00,2.985567074,,3.293847873,53.33779639,67.24577,45.05372,105.396667,74.64151553,33.3057,,6,1,1,0,1
AUS,1997-07-31 00:00:00,0.127777198,,3.293847873,53.33779639,67.18067,47.66763,103.246667,74.64151553,33.3057,,5.456521739,1,1,0,1
AUS,1997-10-31 00:00:00,1.455098799,,3.293847873,53.33779639,67.48669,45.67761,100.943333,74.64151553,33.3057,,5,1,1,0,1
AUS,1998-01-31 00:00:00,0.649088709,,0.767646301,53.79038968,67.5249,47.62333,102.896667,70.97068813,35.760125,,5,1,1,0,1
AUS,1998-04-30 00:00:00,0.932011951,,0.767646301,53.79038968,67.72675,48.703,97.383333,70.97068813,35.760125,,5,1,1,0,1
AUS,1998-07-31 00:00:00,1.903486416,,0.767646301,53.79038968,67.87541,46.93147,94.213333,70.97068813,35.760125,,5,1,1,0,1
AUS,1998-10-31 00:00:00,1.515103209,,0.767646301,53.79038968,68.03841,46.92661,93.01,70.97068813,35.760125,,5,1,1,0,1
AUS,1999-01-31 00:00:00,0.730018704,,0.315686526,53.23610772,67.99277,50.79559,95.163333,73.81311679,38.349625,,4.75,1,1,0,1
AUS,1999-04-30 00:00:00,0.324949768,,0.315686526,53.23610772,68.06248,53.47079,99.72,73.81311679,38.349625,,4.75,1,1,0,1
AUS,1999-07-31 00:00:00,1.158502476,,0.315686526,53.23610772,68.2617,53.45441,98.413333,73.81311679,38.349625,,4.75,1,1,0,1
AUS,1999-10-31 00:00:00,1.696859223,,0.315686526,53.23610772,68.5567,53.52481,96.266667,73.81311679,38.349625,,4.75,1,1,0,1
AUS,2000-01-31 00:00:00,0.401444664,,1.591989195,53.65577213,68.51747,57.14708,95.696667,75.04675994,41.537425,,5,1,1,0,1
AUS,2000-04-30 00:00:00,0.91969778,,1.591989195,53.65577213,69.11311,56.61853,90.94,75.04675994,41.537425,,5.720588235,1,1,0,1
AUS,2000-07-31 00:00:00,0.277602022,,1.591989195,53.65577213,69.65802,60.17802,90.13,75.04675994,41.537425,,6,1,1,0,1
AUS,2000-10-31 00:00:00,-0.370983354,,1.591989195,53.65577213,69.05267,59.63087,85.646667,75.04675994,41.537425,,6.25,1,1,0,1
AUS,2001-01-31 00:00:00,1.035525522,,2.721199978,52.7149488,68.90578,59.79416,85.66,76.15379524,46.1999,,6.25,1,1,0,1
AUS,2001-04-30 00:00:00,0.815860378,,2.721199978,52.7149488,69.13612,61.1128,85.136667,76.15379524,46.1999,,5.055555556,1,1,0,1
