LOCATION,TIME,QGDP,HHSAV,HHDI,ECT,EMP,CLIR,TERMTRADE,SHPRICE,EER,RPP,MORT
AUS,1/31/95,0.012789781,4.720235033,,53.30011197,67.09098,,72.9001544,33.35089,95.85,31.783325,
AUS,4/30/95,0.419946207,4.720235033,,53.30011197,67.61976,,72.9001544,35.95206,89.413333,31.783325,
AUS,7/31/95,2.261019595,4.720235033,,53.30011197,67.81106,,72.9001544,37.92205,93.626667,31.783325,
AUS,10/31/95,-0.018478794,4.720235033,,53.30011197,67.92979,,72.9001544,38.15328,96.14,31.783325,
AUS,1/31/96,1.646925525,6.253161393,,54.20781821,67.89287,,75.0571771,40.04256,98.51,32.02885,
AUS,4/30/96,0.637186891,6.253161393,,54.20781821,67.76708,,75.0571771,39.83682,104.033333,32.02885,
AUS,7/31/96,0.799296148,6.253161393,,54.20781821,67.56139,,75.0571771,39.16984,103.57,32.02885,
AUS,10/31/96,0.931677019,6.253161393,,54.20781821,67.44862,,75.0571771,41.76069,105,32.02885,
AUS,1/31/97,0.628896825,3.293847873,,53.33779639,67.43929,,74.64151553,43.31374,105.886667,33.3057,
AUS,4/30/97,2.985567074,3.293847873,,53.33779639,67.24577,,74.64151553,45.05372,105.396667,33.3057,
AUS,7/31/97,0.127777198,3.293847873,,53.33779639,67.18067,,74.64151553,47.66763,103.246667,33.3057,
AUS,10/31/97,1.455098799,3.293847873,,53.33779639,67.48669,,74.64151553,45.67761,100.943333,33.3057,
AUS,1/31/98,0.649088709,0.767646301,,53.79038968,67.5249,,70.97068813,47.62333,102.896667,35.760125,
AUS,4/30/98,0.932011951,0.767646301,,53.79038968,67.72675,,70.97068813,48.703,97.383333,35.760125,
AUS,7/31/98,1.903486416,0.767646301,,53.79038968,67.87541,,70.97068813,46.93147,94.213333,35.760125,
AUS,10/31/98,1.515103209,0.767646301,,53.79038968,68.03841,,70.97068813,46.92661,93.01,35.760125,
AUS,1/31/99,0.730018704,0.315686526,,53.23610772,67.99277,,73.81311679,50.79559,95.163333,38.349625,
AUS,4/30/99,0.324949768,0.315686526,,53.23610772,68.06248,,73.81311679,53.47079,99.72,38.349625,
AUS,7/31/99,1.158502476,0.315686526,,53.23610772,68.2617,,73.81311679,53.45441,98.413333,38.349625,
AUS,10/31/99,1.696859223,0.315686526,,53.23610772,68.5567,,73.81311679,53.52481,96.266667,38.349625,
AUS,1/31/00,0.401444664,1.591989195,,53.65577213,68.51747,,75.04675994,57.14708,95.696667,41.537425,
AUS,4/30/00,0.91969778,1.591989195,,53.65577213,69.11311,,75.04675994,56.61853,90.94,41.537425,
AUS,7/31/00,0.277602022,1.591989195,,53.65577213,69.65802,,75.04675994,60.17802,90.13,41.537425,
AUS,10/31/00,-0.370983354,1.591989195,,53.65577213,69.05267,,75.04675994,59.63087,85.646667,41.537425,
AUS,1/31/01,1.035525522,2.721199978,,52.7149488,68.90578,,76.15379524,59.79416,85.66,46.1999,
AUS,4/30/01,0.815860378,2.721199978,,52.7149488,69.13612,,76.15379524,61.1128,85.136667,46.1999,
AUS,7/31/01,1.173847231,2.721199978,,52.7149488,69.03476,,76.15379524,59.67142,84.573333,46.1999,
AUS,10/31/01,1.217177551,2.721199978,,52.7149488,68.97187,,76.15379524,59.83873,84.836667,46.1999,
AUS,1/31/02,0.753058007,-1.334020808,,52.8792316,69.0402,,77.28924263,62.59467,87.26,54.8662,
AUS,4/30/02,1.728331961,-1.334020808,,52.8792316,69.08317,,77.28924263,60.93627,90.37,54.8662,
AUS,7/31/02,0.299909128,-1.334020808,,52.8792316,69.42125,,77.28924263,56.72178,87.076667,54.8662,
AUS,10/31/02,0.81540393,-1.334020808,,52.8792316,69.77407,,77.28924263,54.72005,88.74,54.8662,
AUS,1/31/03,0.188630055,-0.765395888,,52.43784729,70.15444,,83.06072841,52.82389,91.646667,64.760125,
AUS,4/30/03,0.425225777,-0.765395888,,52.43784729,69.85237,,83.06072841,54.62437,97.086667,64.760125,
AUS,7/31/03,1.741866059,-0.765395888,,52.43784729,69.85674,,83.06072841,57.24477,99.496667,64.760125,
AUS,10/31/03,1.657812814,-0.765395888,,52.43784729,70.07011,,83.06072841,58.85683,104.846667,64.760125,
AUS,1/31/04,0.765430934,0.27883171,,52.3448301,69.98953,,90.91681926,60.84338,109.656667,68.80445,
AUS,4/30/04,0.674499756,0.27883171,,52.3448301,70.17777,,90.91681926,62.71079,104.053333,68.80445,
AUS,7/31/04,0.766439369,0.27883171,,52.3448301,70.18668,,90.91681926,64.69377,102.946667,68.80445,
AUS,10/31/04,0.747634988,0.27883171,,52.3448301,70.79011,,90.91681926,70.09274,106.506667,68.80445,
AUS,1/31/05,0.758685822,-0.825982271,,51.8220877,71.17281,,100.6094249,75.34128,108,70.062925,
AUS,4/30/05,0.449909251,-0.825982271,,51.8220877,71.57612,,100.6094249,74.87832,108.466667,70.062925,
AUS,7/31/05,1.126804371,-0.825982271,,51.8220877,71.71719,,100.6094249,80.60666,108.816667,70.062925,
AUS,10/31/05,0.771446147,-0.825982271,,51.8220877,71.61091,,100.6094249,83.12486,107.916667,70.062925,
AUS,1/31/06,0.101554111,-0.20629131,,51.91231023,71.63669,,107.7879586,89.16889,106.06,74.9032,
AUS,4/30/06,0.229512286,-0.20629131,,51.91231023,71.9687,,107.7879586,93.37054,105.503333,74.9032,
AUS,7/31/06,1.488690323,-0.20629131,,51.91231023,72.41865,,107.7879586,91.60742,106.706667,74.9032,
AUS,10/31/06,1.282372689,-0.20629131,,51.91231023,72.432,,107.7879586,98.64959,107.566667,74.9032,
AUS,1/31/07,1.383440683,0.970453805,,52.06509628,72.48216,,113.8732698,106.0226,108.66,82.79285,
AUS,4/30/07,0.665828079,0.970453805,1.43,52.06509628,72.76987,,113.8732698,113.7769,113.276667,82.79285,
AUS,7/31/07,1.124869178,0.970453805,0.08,52.06509628,72.88504,,113.8732698,113.2666,113.923333,82.79285,
AUS,10/31/07,0.410583942,0.970453805,1.16,52.06509628,73.05726,,113.8732698,119.1082,116.41,82.79285,
AUS,1/31/08,1.005776595,7.686531458,1.11,50.09411703,73.23557,,122.0927985,101.8862,115.923333,86.060025,
AUS,4/30/08,0.3290074,7.686531458,0.12,50.09411703,73.30029,,122.0927985,101.4075,119.236667,86.060025,
AUS,7/31/08,0.676864901,7.686531458,0.06,50.09411703,73.18706,,122.0927985,90.06924,114.323333,86.060025,
AUS,10/31/08,-0.412244161,7.686531458,5.15,50.09411703,73.00613,,122.0927985,70.30481,91.753333,86.060025,
AUS,1/31/09,0.923212155,5.645295108,-2.25,50.53411108,72.46384,,117.7097266,63.21585,91.833333,89.545025,
AUS,4/30/09,0.724369816,5.645295108,2.45,50.53411108,72.04186,,117.7097266,69.62283,102.77,89.545025,
AUS,7/31/09,0.337082888,5.645295108,-3.04,50.53411108,71.73898,,117.7097266,78.54806,109.61,89.545025,
AUS,10/31/09,0.765596268,5.645295108,0.77,50.53411108,71.92456,,117.7097266,85.77218,116.896667,89.545025,
AUS,1/31/10,0.431602448,7.363248676,0.62,50.46480132,72.10731,,141.7207413,86.50535,117.846667,100,
AUS,4/30/10,0.645116572,7.363248676,0.08,50.46480132,72.06341,,141.7207413,84.16779,117.29,100,
AUS,7/31/10,0.682549365,7.363248676,1.85,50.46480132,72.45774,,141.7207413,81.68843,117.846667,100,
AUS,10/31/10,0.843066505,7.363248676,2.21,50.46480132,72.83595,,141.7207413,85.41597,124.943333,100,
AUS,1/31/11,-0.30015262,7.948585342,0.66,50.75518823,72.8946,,142.4165281,87.09901,126.173333,97.846075,
AUS,4/30/11,1.269830471,7.948585342,-0.28,50.75518823,72.65271,,142.4165281,85.81882,130.446667,97.846075,
AUS,7/31/11,1.364758612,7.948585342,0.54,50.75518823,72.63012,,142.4165281,77.89247,128.5,97.846075,
AUS,10/31/11,1.072041471,7.948585342,0.92,50.75518823,72.44868,,142.4165281,76.11659,126.756667,97.846075,
AUS,1/31/12,0.970739636,6.541727372,-1.19,51.24929591,72.45183,,128.8339064,77.19817,132.24,97.53145,
AUS,4/30/12,0.724128413,6.541727372,0.72,51.24929591,72.39378,,128.8339064,76.5061,127.983333,97.53145,
AUS,7/31/12,0.576151209,6.541727372,-2.54,51.24929591,72.29718,,128.8339064,77.84659,131.963333,97.53145,
AUS,10/31/12,0.476459773,6.541727372,0.86,51.24929591,72.23671,,128.8339064,82.02872,130.276667,97.53145,
AUS,1/31/13,0.466452771,7.407071087,0.73,51.14405211,72.32061,,123.9677508,89.82155,131.253333,103.993225,
AUS,4/30/13,0.383995137,7.407071087,-0.2,51.14405211,72.07904,,123.9677508,90.36855,126.436667,103.993225,
AUS,7/31/13,0.805270864,7.407071087,0.01,51.14405211,71.87262,,123.9677508,92.70076,117.586667,103.993225,
