Country,Time,ngdpsa,hdisa,gssa,compsa,emplsa,sharep,neer,tot,hpi,ir_mort,ir_cons,oecd,imfdeveloped,eu,ea
Transformation,,gr,gr,gr,gr,gr,gr,gr,gr,gr,n,n,n,n,n,n
SA,,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Reciprocal,,n,n,n,n,n,n,n,n,n,y,y,n,n,n,n
EST,4/30/18,0.821558306,,8.441009455,55.25447776,664.3224,145.6901,98.4025,102.2295985,183.12925,2.45,2.94,,,,
EST,7/31/18,0.928878509,,8.441009455,55.25447776,662.5761,143.4107,98.4025,102.2295985,183.12925,2.58,3.01,,,,
EST,10/31/18,1.164539081,,8.441009455,55.25447776,674.124,138.6179,98.4025,102.2295985,183.12925,2.51,2.94,,,,
EST,1/31/19,1.687166292,,7.75737023,56.01573353,664.4391,141.6719,98.138333,101.8902196,195.976,2.5,3.1,,,,
EST,4/30/19,0.395425167,,7.75737023,56.01573353,669.9578,144.8549,98.138333,101.8902196,195.976,2.54,2.78,,,,
EST,7/31/19,0.35781631,,7.75737023,56.01573353,673.7154,145.136,98.138333,101.8902196,195.976,2.63,3.43,,,,
EST,10/31/19,0.742940459,,7.75737023,56.01573353,677.2877,145.5777,98.138333,101.8902196,195.976,2.61,3.46,,,,
EST,1/31/20,-0.390104117,,10.54703878,57.91373924,672.0185,145.5337,100,102.2779195,207.77305,2.6,3.91,,,,
EST,4/30/20,-5.265976673,,10.54703878,57.91373924,646.2693,132.1763,100,102.2779195,207.77305,2.42,4.24,,,,
EST,7/31/20,4.699811383,,10.54703878,57.91373924,649.2748,138.938,100,102.2779195,207.77305,2.61,3.71,,,,
EST,10/31/20,2.4287266,,10.54703878,57.91373924,658.7374,142.8303,100,102.2779195,207.77305,2.39,3.31,,,,
EST,1/31/21,2.801859417,,6.478295517,55.50493214,648.5173,168.2133,100.290834,102.5916132,239.040225,2.33,3.41,,,,
EST,4/30/21,2.051531376,,6.478295517,55.50493214,646.2012,187.9061,100.290834,102.5916132,239.040225,2.22,3.75,,,,
EST,7/31/21,-0.280823717,,6.478295517,55.50493214,659.8005,214.2092,100.290834,102.5916132,239.040225,2.25,3.12,,,,
EST,10/31/21,1.006665845,,6.478295517,55.50493214,662.281,229.3397,100.290834,102.5916132,239.040225,2.12,1.98,,,,
EST,1/31/22,-0.064479384,,,54.73216233,677.621,223.2978,98.4475,103.2017166,292.176925,2.06,2.57,,,,
EST,4/30/22,-1.085983097,,,54.73216233,679.0815,214.2007,98.4475,103.2017166,292.176925,2.07,2.44,,,,
EST,7/31/22,-0.724792403,,,54.73216233,681.0199,206.1925,98.4475,103.2017166,292.176925,2.4,2.91,,,,
EST,10/31/22,-1.378334929,,,54.73216233,685.5776,200.1363,98.4475,103.2017166,292.176925,3.58,3.99,,,,
EST,1/31/23,-0.662328181,,,,703.9212,216.0144,,,,4.47,4.51,,,,
EST,4/30/23,-0.241304832,,,,702.4348,219.6492,,,,5.01,5.51,,,,
DNK,4/30/18,0.502598831,0.47,5.424600994,59.03938538,2830.008,112.2371,98.48,99.07213039,126.30995,3.319,0.05,,,,
DNK,7/31/18,0.602133078,0.46,5.424600994,59.03938538,2837.997,115.3405,98.48,99.07213039,126.30995,3.321,0.05,,,,
DNK,10/31/18,0.499343436,0.57,5.424600994,59.03938538,2847.856,105.3056,98.48,99.07213039,126.30995,3.199,0.05,,,,
DNK,1/31/19,-0.218151328,0.28,4.28351761,59.3979151,2861.087,109.8985,98.106667,98.97165831,129.619425,3.199,0.05,,,,
DNK,4/30/19,1.005162294,0.97,4.28351761,59.3979151,2876.991,114.5383,98.106667,98.97165831,129.619425,3.139,0.05,,,,
DNK,7/31/19,0.457313711,0.71,4.28351761,59.3979151,2887.756,116.0252,98.106667,98.97165831,129.619425,3.069,0.05,,,,
DNK,10/31/19,-0.304142897,-0.21,4.28351761,59.3979151,2884.667,121.7124,98.106667,98.97165831,129.619425,2.981,0.05,,,,
DNK,1/31/20,-1.021091997,-1.45,5.698015455,60.20103864,2884.96,126.0763,100,102.1303474,136.238275,2.943,0.05,,,,
DNK,4/30/20,-6.04002957,2.73,5.698015455,60.20103864,2827.072,128.0636,100,102.1303474,136.238275,2.937,0.05,,,,
