LOCATION,YEAR,GDP,HHSAV,HHDI,EC,EMP,Interest_Rate,Mortgage_Rate,RES_PRICES,SPI,EER,TERMTRADE
EST,4/30/18,0.821558306,8.441009455,,55.25447776,664.3224,2.94,2.45,183.12925,145.6901,98.4025,102.2295985
EST,7/31/18,0.928878509,8.441009455,,55.25447776,662.5761,3.01,2.58,183.12925,143.4107,98.4025,102.2295985
EST,10/31/18,1.164539081,8.441009455,,55.25447776,674.124,2.94,2.51,183.12925,138.6179,98.4025,102.2295985
EST,1/31/19,1.687166292,7.75737023,,56.01573353,664.4391,3.1,2.5,195.976,141.6719,98.138333,101.8902196
EST,4/30/19,0.395425167,7.75737023,,56.01573353,669.9578,2.78,2.54,195.976,144.8549,98.138333,101.8902196
EST,7/31/19,0.35781631,7.75737023,,56.01573353,673.7154,3.43,2.63,195.976,145.136,98.138333,101.8902196
EST,10/31/19,0.742940459,7.75737023,,56.01573353,677.2877,3.46,2.61,195.976,145.5777,98.138333,101.8902196
EST,1/31/20,-0.390104117,10.54703878,,57.91373924,672.0185,3.91,2.6,207.77305,145.5337,100,102.2779195
EST,4/30/20,-5.265976673,10.54703878,,57.91373924,646.2693,4.24,2.42,207.77305,132.1763,100,102.2779195
EST,7/31/20,4.699811383,10.54703878,,57.91373924,649.2748,3.71,2.61,207.77305,138.938,100,102.2779195
EST,10/31/20,2.4287266,10.54703878,,57.91373924,658.7374,3.31,2.39,207.77305,142.8303,100,102.2779195
EST,1/31/21,2.801859417,6.478295517,,55.50493214,648.5173,3.41,2.33,239.040225,168.2133,100.290834,102.5916132
EST,4/30/21,2.051531376,6.478295517,,55.50493214,646.2012,3.75,2.22,239.040225,187.9061,100.290834,102.5916132
EST,7/31/21,-0.280823717,6.478295517,,55.50493214,659.8005,3.12,2.25,239.040225,214.2092,100.290834,102.5916132
EST,10/31/21,1.006665845,6.478295517,,55.50493214,662.281,1.98,2.12,239.040225,229.3397,100.290834,102.5916132
EST,1/31/22,-0.064479384,,,54.73216233,677.621,2.57,2.06,292.176925,223.2978,98.4475,103.2017166
EST,4/30/22,-1.085983097,,,54.73216233,679.0815,2.44,2.07,292.176925,214.2007,98.4475,103.2017166
EST,7/31/22,-0.724792403,,,54.73216233,681.0199,2.91,2.4,292.176925,206.1925,98.4475,103.2017166
EST,10/31/22,-1.378334929,,,54.73216233,685.5776,3.99,3.58,292.176925,200.1363,98.4475,103.2017166
EST,1/31/23,-0.662328181,,,,703.9212,4.51,4.47,,216.0144,,
EST,4/30/23,-0.241304832,,,,702.4348,5.51,5.01,,219.6492,,
DNK,4/30/18,0.502598831,5.424600994,0.47,59.03938538,2830.008,,,126.30995,112.2371,98.48,99.07213039
DNK,7/31/18,0.602133078,5.424600994,0.46,59.03938538,2837.997,,,126.30995,115.3405,98.48,99.07213039
DNK,10/31/18,0.499343436,5.424600994,0.57,59.03938538,2847.856,,,126.30995,105.3056,98.48,99.07213039
DNK,1/31/19,-0.218151328,4.28351761,0.28,59.3979151,2861.087,,,129.619425,109.8985,98.106667,98.97165831
DNK,4/30/19,1.005162294,4.28351761,0.97,59.3979151,2876.991,,,129.619425,114.5383,98.106667,98.97165831
DNK,7/31/19,0.457313711,4.28351761,0.71,59.3979151,2887.756,,,129.619425,116.0252,98.106667,98.97165831
DNK,10/31/19,-0.304142897,4.28351761,-0.21,59.3979151,2884.667,,,129.619425,121.7124,98.106667,98.97165831
DNK,1/31/20,-1.021091997,5.698015455,-1.45,60.20103864,2884.96,,,136.238275,126.0763,100,102.1303474
DNK,4/30/20,-6.04002957,5.698015455,2.73,60.20103864,2827.072,,,136.238275,128.0636,100,102.1303474
DNK,7/31/20,5.555475678,5.698015455,1.6,60.20103864,2843.637,,,136.238275,142.9045,100,102.1303474
DNK,10/31/20,1.039550846,5.698015455,-7.87,60.20103864,2853.631,,,136.238275,154.8002,100,102.1303474
DNK,1/31/21,1.579360542,2.790680072,-2.62,57.72624122,2855.795,,,152.206275,163.4964,100.27,102.7964554
DNK,4/30/21,2.93649594,2.790680072,6.92,57.72624122,2900.173,,,152.206275,174.5673,100.27,102.7964554
DNK,7/31/21,0.750351775,2.790680072,3.31,57.72624122,2910.59,,,152.206275,193.4537,100.27,102.7964554
DNK,10/31/21,2.424338645,2.790680072,1.62,57.72624122,2933.843,,,152.206275,195.2621,100.27,102.7964554
DNK,1/31/22,-0.900468906,7.168912527,-1.29,55.15910184,2967.742,,,151.489225,182.9853,99.269167,103.9863731
DNK,4/30/22,0.868663536,7.168912527,-1.64,55.15910184,2996.074,,,151.489225,181.5368,99.269167,103.9863731
DNK,7/31/22,-0.096688017,7.168912527,-0.99,55.15910184,3001.681,,,151.489225,179.0206,99.269167,103.9863731
DNK,10/31/22,0.50928716,7.168912527,0.98,55.15910184,3012.303,,,151.489225,177.9904,99.269167,103.9863731
DNK,1/31/23,0.735889452,,3.33,,3030.462,,,,195.0444,,
DNK,4/30/23,0.315772817,,-1.63,,3004.072,,,,205.3368,,
ESP,4/30/18,0.585880251,1.396291686,0.34,50.12502065,19304.59,1.99,1.98,88.127325,92.44191,98.500834,99.28559972
ESP,7/31/18,0.52041551,1.396291686,0.38,50.12502065,19402.15,1.87,1.89,88.127325,89.81604,98.500834,99.28559972
ESP,10/31/18,0.659258956,1.396291686,1.4,50.12502065,19529.87,1.84,2,88.127325,83.32016,98.500834,99.28559972
ESP,1/31/19,0.608861527,4.105222755,0.9,51.3620079,19651.27,1.96,2.09,92.686875,84.89809,98.170833,99.13430792
ESP,4/30/19,0.346200217,4.105222755,1.87,51.3620079,19885.09,1.98,2.15,92.686875,86.7626,98.170833,99.13430792
ESP,7/31/19,0.295000101,4.105222755,-1.21,51.3620079,19763.9,1.77,1.98,92.686875,83.65209,98.170833,99.13430792
ESP,10/31/19,0.217169436,4.105222755,0.37,51.3620079,19816.34,1.77,1.82,92.686875,86.33318,98.170833,99.13430792
ESP,1/31/20,-5.48725517,13.7396403,-1.62,54.91173124,19741.06,2.21,1.81,94.7604,81.06324,99.999167,101.2472847
ESP,4/30/20,-17.82625592,13.7396403,-7.72,54.91173124,18759.61,1.79,1.72,94.7604,64.12774,99.999167,101.2472847
ESP,7/31/20,16.63793363,13.7396403,11.23,54.91173124,19081.5,1.69,1.75,94.7604,64.81197,99.999167,101.2472847
ESP,10/31/20,-0.058975087,13.7396403,-2.45,54.91173124,19226.92,1.65,1.71,94.7604,69.02163,99.999167,101.2472847
ESP,1/31/21,-0.228663315,9.562398487,-0.81,54.19915667,19329.48,2.15,1.56,98.246,76.36524,100.7425,100.5518196
ESP,4/30/21,1.352205559,9.562398487,0.56,54.19915667,19726.32,2.07,1.52,98.246,82.23612,100.7425,100.5518196
ESP,7/31/21,3.108188446,9.562398487,3.28,54.19915667,19906.33,1.55,1.44,98.246,80.49223,100.7425,100.5518196
ESP,10/31/21,2.26529089,9.562398487,-1.52,54.19915667,20132.17,1.59,1.46,98.246,80.06898,100.7425,100.5518196
ESP,1/31/22,-0.573839954,,-3.66,52.46656419,20261.9,1.87,1.44,105.51645,78.52036,100.1,93.56486283
ESP,4/30/22,2.791828726,,-0.52,52.46656419,20402.28,1.84,1.55,105.51645,78.3112,100.1,93.56486283
ESP,7/31/22,0.387178437,,-1.32,52.46656419,20445.16,1.67,1.8,105.51645,73.82452,100.1,93.56486283
ESP,10/31/22,0.414004686,,5.11,52.46656419,20452.96,2.6,2.51,105.51645,73.76313,100.1,93.56486283
ESP,1/31/23,0.520072656,,1.81,,20603.87,3.71,3.19,,83.3399,,
ESP,4/30/23,0.420518918,,0.37,,20934.08,4.35,3.61,,85.27568,,
NOR,4/30/18,0.300808205,5.926761424,0.53,51.46718589,2680.036,,,149.035625,148.2753,110.4,104.0916746
NOR,7/31/18,0.6300102,5.926761424,-1.5,51.46718589,2689.539,,,149.035625,154.0787,110.4,104.0916746
NOR,10/31/18,0.033674237,5.926761424,1.92,51.46718589,2706.255,,,149.035625,147.7554,110.4,104.0916746
NOR,1/31/19,-0.443113704,7.060547059,0.26,54.19282643,2700.87,,,152.72965,145.8166,107.355,95.50493401
NOR,4/30/19,0.859924439,7.060547059,1.03,54.19282643,2703.369,,,152.72965,148.404,107.355,95.50493401
NOR,7/31/19,0.568205142,7.060547059,-0.59,54.19282643,2729.727,,,152.72965,145.34,107.355,95.50493401
NOR,10/31/19,0.828953858,7.060547059,-0.08,54.19282643,2728.234,,,152.72965,151.0397,107.355,95.50493401
NOR,1/31/20,-1.316029175,12.8832977,-0.7,56.82365319,2735.753,,,159.235025,141.9355,100.001667,80.08532722
NOR,4/30/20,-5.342636369,12.8832977,1.59,56.82365319,2681.652,,,159.235025,128.5604,100.001667,80.08532722
NOR,7/31/20,4.264227535,12.8832977,-0.52,56.82365319,2684.106,,,159.235025,139.6004,100.001667,80.08532722
NOR,10/31/20,1.247431013,12.8832977,2.26,56.82365319,2706.488,,,159.235025,146.1826,100.001667,80.08532722
NOR,1/31/21,-0.341314443,13.29453688,-2.82,48.78514567,2724.855,,,175.90715,165.5748,105.393333,114.7728847
NOR,4/30/21,1.282167177,13.29453688,0.73,48.78514567,2794.061,,,175.90715,177.7793,105.393333,114.7728847
NOR,7/31/21,3.244772437,13.29453688,0.32,48.78514567,2837.879,,,175.90715,185.1987,105.393333,114.7728847
NOR,10/31/21,0.447454467,13.29453688,14.38,48.78514567,2833.705,,,175.90715,197.4827,105.393333,114.7728847
NOR,1/31/22,-0.572922624,,-9.83,38.81545335,2853.244,,,185.125875,199.777,104.949167,166.5642162
NOR,4/30/22,1.165815315,,-1.36,38.81545335,2867.113,,,185.125875,211.7659,104.949167,166.5642162
NOR,7/31/22,1.240325526,,-2.51,38.81545335,2855.608,,,185.125875,208.1653,104.949167,166.5642162
NOR,10/31/22,-0.085476669,,-1.84,38.81545335,2860.835,,,185.125875,204.6834,104.949167,166.5642162
NOR,1/31/23,0.33566784,,1.28,,2868.799,,,,206.7645,,
NOR,4/30/23,0.035855528,,-1.37,,2899.994,,,,208.2854,,
