LOCATION,TIME,QGDP,HHSAV,HHDI,ECT,EMP,CLIR
AUS,1995-01-31,0.012789781,4.720235033,,53.30011197,67.09098,
AUS,1995-04-30,0.419946207,4.720235033,,53.30011197,67.61976,
AUS,1995-07-31,2.261019595,4.720235033,,53.30011197,67.81106,
AUS,1995-10-31,-0.018478794,4.720235033,,53.30011197,67.92979,
AUS,1996-01-31,1.646925525,6.253161393,,54.20781821,67.89287,
AUS,1996-04-30,0.637186891,6.253161393,,54.20781821,67.76708,
AUS,1996-07-31,0.799296148,6.253161393,,54.20781821,67.56139,
AUS,1996-10-31,0.931677019,6.253161393,,54.20781821,67.44862,
AUS,1997-01-31,0.628896825,3.293847873,,53.33779639,67.43929,
AUS,1997-04-30,2.985567074,3.293847873,,53.33779639,67.24577,
AUS,1997-07-31,0.127777198,3.293847873,,53.33779639,67.18067,
AUS,1997-10-31,1.455098799,3.293847873,,53.33779639,67.48669,
AUS,1998-01-31,0.649088709,0.767646301,,53.79038968,67.5249,
AUS,1998-04-30,0.932011951,0.767646301,,53.79038968,67.72675,
AUS,1998-07-31,1.903486416,0.767646301,,53.79038968,67.87541,
AUS,1998-10-31,1.515103209,0.767646301,,53.79038968,68.03841,
AUS,1999-01-31,0.730018704,0.315686526,,53.23610772,67.99277,
AUS,1999-04-30,0.324949768,0.315686526,,53.23610772,68.06248,
AUS,1999-07-31,1.158502476,0.315686526,,53.23610772,68.2617,
AUS,1999-10-31,1.696859223,0.315686526,,53.23610772,68.5567,
AUS,2000-01-31,0.401444664,1.591989195,,53.65577213,68.51747,
AUS,2000-04-30,0.91969778,1.591989195,,53.65577213,69.11311,
AUS,2000-07-31,0.277602022,1.591989195,,53.65577213,69.65802,
AUS,2000-10-31,-0.370983354,1.591989195,,53.65577213,69.05267,
AUS,2001-01-31,1.035525522,2.721199978,,52.7149488,68.90578,
AUS,2001-04-30,0.815860378,2.721199978,,52.7149488,69.13612,
AUS,2001-07-31,1.173847231,2.721199978,,52.7149488,69.03476,
AUS,2001-10-31,1.217177551,2.721199978,,52.7149488,68.97187,
AUS,2002-01-31,0.753058007,-1.334020808,,52.8792316,69.0402,
AUS,2002-04-30,1.728331961,-1.334020808,,52.8792316,69.08317,
AUS,2002-07-31,0.299909128,-1.334020808,,52.8792316,69.42125,
AUS,2002-10-31,0.81540393,-1.334020808,,52.8792316,69.77407,
AUS,2003-01-31,0.188630055,-0.765395888,,52.43784729,70.15444,
AUS,2003-04-30,0.425225777,-0.765395888,,52.43784729,69.85237,
AUS,2003-07-31,1.741866059,-0.765395888,,52.43784729,69.85674,
AUS,2003-10-31,1.657812814,-0.765395888,,52.43784729,70.07011,
AUS,2004-01-31,0.765430934,0.27883171,,52.3448301,69.98953,
AUS,2004-04-30,0.674499756,0.27883171,,52.3448301,70.17777,
AUS,2004-07-31,0.766439369,0.27883171,,52.3448301,70.18668,
AUS,2004-10-31,0.747634988,0.27883171,,52.3448301,70.79011,
AUS,2005-01-31,0.758685822,-0.825982271,,51.8220877,71.17281,
AUS,2005-04-30,0.449909251,-0.825982271,,51.8220877,71.57612,
AUS,2005-07-31,1.126804371,-0.825982271,,51.8220877,71.71719,
AUS,2005-10-31,0.771446147,-0.825982271,,51.8220877,71.61091,
AUS,2006-01-31,0.101554111,-0.20629131,,51.91231023,71.63669,
AUS,2006-04-30,0.229512286,-0.20629131,,51.91231023,71.9687,
AUS,2006-07-31,1.488690323,-0.20629131,,51.91231023,72.41865,
AUS,2006-10-31,1.282372689,-0.20629131,,51.91231023,72.432,
AUS,2007-01-31,1.383440683,0.970453805,,52.06509628,72.48216,
AUS,2007-04-30,0.665828079,0.970453805,1.43,52.06509628,72.76987,
AUS,2007-07-31,1.124869178,0.970453805,0.08,52.06509628,72.88504,
AUS,2007-10-31,0.410583942,0.970453805,1.16,52.06509628,73.05726,
AUS,2008-01-31,1.005776595,7.686531458,1.11,50.09411703,73.23557,
AUS,2008-04-30,0.3290074,7.686531458,0.12,50.09411703,73.30029,
AUS,2008-07-31,0.676864901,7.686531458,0.06,50.09411703,73.18706,
AUS,2008-10-31,-0.412244161,7.686531458,5.15,50.09411703,73.00613,
