Reference area,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015,31/12/2015,31/03/2016,30/06/2016,30/09/2016,31/12/2016,31/03/2017,30/06/2017,30/09/2017,31/12/2017,31/03/2018,30/06/2018,30/09/2018,31/12/2018,31/03/2019,30/06/2019,30/09/2019,31/12/2019,31/03/2020,30/06/2020,30/09/2020,31/12/2020,31/03/2021,30/06/2021,30/09/2021,31/12/2021,31/03/2022,30/06/2022,30/09/2022,31/12/2022,31/03/2023,30/06/2023,30/09/2023
IN:India,193.176667,187.676667,186.98,174.26,173.163333,179.523333,174.356667,175.18,181.596667,184.19,187.526667,183.08,183.14,175.923333,170.26,166.143333,169.683333,171.86,169.406667,168.67,171.443333,173.556667,171.093333,170.723333,169.873333,173.983333,171.356667,169.533333,169.973333,164.913333,161.333333,162.18,159.366667,157.93,161.643333,158.686667,155.783333,159.753333,154.54,153.786667,156.076667,158.983333,160.783333,156.586667,158.29,151.486667,147.713333,151.003333,152.54,161.016667,161.596667,161.196667,156.736667,147.073333,142.376667,138.406667,137.946667,136.58,133.823333,135.923333,140.55,145.05,140.48,141.376667,138.99,137.463333,134.64,124.316667,125.956667,118.386667,116.64,116.953333,117.243333,114.67,103.33,102.573333,103.736667,106.96,106.38,107.72,111.97,110.116667,109.66,109.396667,107.943333,106.936667,107.343333,109.333333,110.66,113.236667,110.806667,109.9,107.393333,104.903333,103.68,102.113333,103.32,105.673333,105.406667,104.19,102.94,99.926667,99.283333,97.85,97.853333,96.903333,97.543333,97.503333,97.98,98.47,98.66,96.95,93.903333,94.726667,95.743333
IL:Israel,87.94,85.76,86.486667,85.72,85.756667,84.166667,85.51,83.953333,85.586667,84.59,84.01,84.326667,85.716667,83.44,82.54,71.226667,75.53,77.083333,75.543333,74.743333,79.646667,80.926667,83.176667,84.4,82.613333,85.056667,82.81,82.553333,77.253333,71.603333,72.03,71.663333,68.086667,71.276667,72.283333,70.016667,67.79,67.78,68.07,67.506667,67.283333,67.666667,66.643333,65.963333,64.943333,66.106667,67.673333,69.18,69.213333,70.2,67.64,69.69,74.623333,77.866667,77.733333,77.31,73.953333,71.696667,73.963333,73.71,75.96,77.16,76.006667,77.37,77.313333,78.94,77.1,75.94,75.236667,75.25,72.76,74.23,76.993333,79.473333,80.926667,81.353333,82.506667,82.903333,82.773333,78.836667,80.286667,82.28,84.106667,84.513333,84.543333,85.083333,85.846667,87.513333,90.623333,92.47,90.67,92.196667,91.08,90.24,92.23,91.39,92.306667,94.5,97.166667,98.23,98.653333,100.066667,100.123333,101.156667,101.82,102.596667,104.65,109.68,110.09,108.92,111.19,109.3,104.91,102.136667,101.62
AE:United Arab Emirates,73.456667,70.953333,72.65,73.913333,75.34,76.166667,76.246667,76.723333,79.616667,80.51,82.94,86.353333,92.503333,92.196667,93.323333,88.476667,90.03,92.24,91.926667,91.296667,93,95.533333,97.483333,100.186667,99.893333,103.696667,102.75,103.14,104.753333,102.053333,98.686667,98.406667,95.41,93.073333,92.846667,89.856667,87.43,89.03,88.86,85.833333,84.436667,85.956667,87.326667,88.916667,87.726667,86.243333,86.07,85.066667,84.056667,82.3,81.146667,78.67,77.413333,77.053333,79.016667,86.336667,87.953333,85.403333,82.903333,80.783333,82.186667,84.333333,83.22,80.453333,80.253333,78.443333,78.88,81.94,82.043333,83.746667,84.36,83.003333,83.413333,84.56,86.1,85.246667,85.616667,85.156667,86.083333,89.196667,92.973333,93.626667,95.206667,96.38,97.19,95.466667,95.983333,98.626667,99.376667,97.583333,95.24,95.25,92.58,94.453333,98.083333,99.36,98.256667,98.923333,99.953333,100.096667,100.523333,102.343333,99.553333,97.583333,96.35,96.773333,97.736667,99.046667,100.013333,103.76,107.75,109.236667,106.02,106.71,108.526667
IS:Iceland,170.28,171.313333,170.806667,169.8,169.896667,170.703333,170.443333,170.77,171.733333,173.84,176.51,175.586667,179.133333,180.5,181.836667,179.843333,181.616667,181.723333,183.03,187.536667,190.03,191.26,184.21,177.38,172.066667,155.55,152.806667,145.6,152.773333,160.993333,164.456667,163.733333,170.88,172.746667,165.15,165.466667,171.606667,168.32,169.59,173.903333,185.78,183.686667,189.346667,197.88,187.296667,159.833333,162.886667,167.17,167.34,174.986667,173.586667,171.596667,152.19,130.66,122.546667,93.146667,100.913333,89.806667,86.006667,85.023333,86.42,90.37,95.24,96.676667,93.263333,91.32,91.246667,93.156667,89.426667,89.04,93.14,88.596667,87.21,93.076667,92.446667,91.74,96.253333,97.18,96.55,96.133333,95.72,96.456667,98.976667,102.18,103.386667,105.126667,111.653333,120.773333,123.063333,128.12,121.156667,122.116667,122.056667,122.793333,121.453333,110.866667,111.183333,109.913333,109.7,110.76,107.343333,98.856667,96.623333,97.173333,100.193333,103.906667,103.55,103.09,106.553333,109.693333,108.48,105.21,102.27,105.256667,109.796667
MT:Malta,82.283333,83.3,82.47,82.71,82.423333,82.053333,82.62,83.206667,83.97,84.273333,84.726667,86.71,88.456667,88.55,89.373333,88.833333,88.623333,88.413333,88.243333,87.91,87.64,87.106667,86.733333,86.866667,88.03,88.503333,88.703333,89.153333,89.316667,89.243333,89.91,90.846667,92.256667,93.223333,92.623333,94.016667,95.526667,94.84,95.253333,95.906667,95.486667,94.41,93.476667,92.806667,92.533333,94.016667,94.606667,94.653333,94.943333,95.666667,96.03,97.493333,99.193333,102.193333,101.11,100.653333,102.24,102.09,103.146667,103.446667,99.72,95.686667,95.82,97.013333,96.97,98.693333,97.86,97.166667,95.263333,94.676667,93.136667,94.196667,95.773333,96.203333,97.31,97.966667,99.023333,98.336667,96.586667,95.576667,91.953333,90.866667,92.91,92.64,94.136667,94.083333,93.753333,93.55,93.246667,93.916667,96.536667,96.73,97.67,97.496667,98.856667,98.496667,97.716667,97.993333,98.146667,97.67,97.923333,99.253333,101.29,101.533333,101.216667,101.576667,101.156667,100.883333,101.006667,100.753333,100.43,102.113333,103.47,105,106.54
ZA:South Africa,390.176667,367.356667,376.026667,379.55,374.766667,331.653333,318.676667,308.41,330.576667,337.526667,332.926667,325.593333,329.13,314.7,262.546667,270.56,262.19,268.213333,269.33,266.526667,264.633333,250.033333,249.93,236.393333,226.98,229.046667,217.923333,180.413333,160.99,173.103333,167.25,181.19,201.536667,210.586667,220.25,233.553333,224.71,236.136667,243.21,246.666667,244.87,234.05,234.566667,237.843333,249.72,233.023333,208.816667,202.093333,202.243333,202.536667,199.26,202.15,177.846667,168.436667,172.223333,146.07,148.316667,169.673333,177.95,180.98,185.016667,190.303333,192.62,197.556667,193.156667,193.953333,185.443333,168.263333,176.69,171.31,169.486667,158.523333,154.59,147.726667,140.836667,136.863333,128.606667,132.27,131.193333,130.83,131.336667,128.52,121.336667,112.483333,101.543333,105.15,113.013333,117.606667,124.67,122.396667,118.763333,114.843333,126.68,122.47,114.076667,113.953333,115.01,113.116667,112.24,112.023333,108.123333,93.793333,96.13,101.953333,105.036667,111.526667,109.106667,105.166667,107.366667,109.466667,104.413333,101.906667,97.59,93.216667,94.683333
ES:Spain,89.593333,91.77,93.06,93.7,94.44,93.5,93.18,92.49,90.57,89.96,88.88,90.31,90.326667,90.736667,91.806667,92.81,92.136667,90.876667,90.636667,90.2,89.053333,88.143333,87.763333,87.266667,89.216667,88.613333,89.236667,89.5,89.176667,90.143333,91.633333,92.073333,93.64,94.733333,94.406667,95.216667,95.863333,95.19,95.486667,96.36,96.1,95.253333,94.556667,94.113333,94.093333,95.08,95.423333,95.356667,95.503333,95.85,95.993333,96.823333,97.476667,98.363333,97.36,96.253333,97.343333,97.71,98.236667,98.783333,96.883333,94.643333,94.536667,95.336667,95.306667,96.406667,96.06,95.63,94.4,94.073333,93.303333,94.173333,95.07,95.13,96.113333,96.856667,97.55,97.386667,96.41,95.586667,93.256667,92.656667,93.8,93.84,94.91,95.216667,95.276667,95.13,94.943333,95.506667,97.24,97.543333,98.146667,98.04,99.076667,98.74,98.09,98.24,98.263333,98.09,98.246667,99.56,101.006667,101.183333,100.873333,101.093333,100.606667,100.396667,100.416667,99.896667,99.41,100.676667,101.603333,102.53,103.703333
IT:Italy,76.983333,72.67,76.673333,77.693333,81.036667,84.126667,85.556667,86.89,86.313333,85.78,85.603333,87.166667,87.033333,87.87,89.336667,90.91,90.396667,89.02,88.783333,88.41,87.036667,85.85,85.34,84.793333,87.406667,86.613333,87.536667,87.923333,87.476667,88.72,90.783333,91.38,93.436667,94.893333,94.473333,95.686667,96.7,95.816667,96.18,97.246667,96.866667,95.826667,94.89,94.346667,94.273333,95.513333,95.99,95.903333,96.106667,96.476667,96.64,97.646667,98.346667,99.34,98.143333,96.806667,98.393333,98.833333,99.443333,99.963333,97.603333,94.95,94.836667,95.783333,95.673333,96.863333,96.386667,96.013333,94.556667,94.233333,93.346667,94.34,95.32,95.44,96.6,97.473333,98.33,98.116667,96.996667,96.18,93.483333,92.603333,94.05,94.076667,95.226667,95.453333,95.313333,95.03,94.72,95.403333,97.456667,97.806667,98.556667,98.386667,99.27,98.856667,98.17,98.22,98.13,97.943333,98.093333,99.4,101.12,101.386667,101.173333,101.406667,100.813333,100.383333,100.346667,99.366667,98.463333,99.783333,100.993333,102.066667,103.313333
MX:Mexico,333.19,320.073333,319.386667,271.633333,267.07,269.193333,266.62,257.843333,260.023333,259.216667,264.58,258.336667,251.71,244.846667,225.293333,209.903333,212.136667,225.34,226.936667,223.946667,226.233333,223.8,230.22,228.74,224.276667,239.33,238.03,238.126667,243.56,232.566667,221.096667,215.67,200.266667,204.67,199.43,188.65,190.526667,185.203333,183.666667,182.94,184.203333,188.863333,193.876667,194.79,195.776667,184.063333,187.536667,187.876667,185.203333,185.713333,182.89,181.816667,180.44,185.47,189.24,155.583333,142.253333,151.196667,149.63,149.993333,154.366667,158.586667,154.446667,157.163333,160.5,163.133333,155.606667,142.166667,149.266667,144.146667,148.466667,150.033333,154.063333,157.096667,152.206667,150.27,148.793333,151.49,150.54,145.29,137.773333,134.576667,127.173333,125.663333,117.35,115.74,111.84,107.266667,105.013333,113.983333,116.916667,109.863333,109.35,106.683333,111.28,107.246667,110.13,111.12,110.086667,111.19,107.983333,92.93,96.576667,102.51,102.853333,104.563333,105.156667,102.066667,103.576667,108.066667,109.33,113.49,117.43,124.613333,130.333333
MY:Malaysia,140.183333,138.97,142.393333,142.08,143.516667,147.376667,148.16,147.98,154.763333,154.116667,142.383333,119.17,110.46,114.026667,110.566667,111.03,111.916667,113.436667,112.016667,110.213333,111.403333,113.133333,114.676667,117.246667,118.61,122.096667,121.173333,122.04,124.093333,121.233333,118.136667,118.876667,116.573333,114.93,114.67,111.663333,109.793333,111.376667,111.34,108.336667,106.843333,108.296667,110.58,111.88,111.463333,112.156667,111.18,111.796667,114.856667,115.836667,113.186667,113.85,115.623333,114.73,112.44,111.586667,110.643333,110.62,108.716667,109.793333,111.833333,118.003333,119.066667,116.843333,118.53,117.09,116.503333,114.446667,117.77,117.01,116.826667,117.94,118.386667,120.51,115.263333,115.813333,113.796667,115.72,117.83,115.573333,111.18,110.356667,101.913333,97.193333,99.88,102.556667,101.27,97.456667,95.346667,96.373333,95.903333,98.253333,101.2,101.91,101.836667,101.016667,101.633333,100.986667,101.393333,101.313333,101.373333,99.41,99.72,99.5,99.393333,98.283333,97.73,98.836667,99.19,99.213333,99.836667,99.366667,99.843333,97.73,97.336667
