LOCATION,TIME,COMPEMPLOYEEACTY
FRA,1995,57.04905107
FRA,1996,57.26481875
FRA,1997,56.85892392
FRA,1998,56.4179604
FRA,1999,56.92908705
FRA,2000,56.66008968
FRA,2001,56.75013873
FRA,2002,57.17819636
FRA,2003,57.28975595
FRA,2004,56.83882586
FRA,2005,56.94284985
FRA,2006,56.93759429
FRA,2007,56.2366285
FRA,2008,56.3470093
FRA,2009,57.88225654
FRA,2010,57.86059551
FRA,2011,57.82423619
FRA,2012,58.24889019
FRA,2013,58.39793962
FRA,2014,58.46219704
FRA,2015,58.01477637
FRA,2016,58.25785386
FRA,2017,58.63955792
FRA,2018,58.59504132
FRA,2019,57.29446187
FRA,2020,57.76607613
FRA,2021,57.96799087
FRA,2022,58.51184577
EA,1995,54.1434011
EA,1996,53.7922762
EA,1997,53.3139616
EA,1998,52.87302365
EA,1999,53.34442846
EA,2000,53.32978766
EA,2001,52.88639221
EA,2002,52.92545379
EA,2003,52.84993926
EA,2004,52.19837768
EA,2005,52.11912534
EA,2006,51.75815791
EA,2007,51.32930168
EA,2008,52.10030311
EA,2009,53.69833814
EA,2010,53.22833565
EA,2011,52.99882792
EA,2012,53.3296999
EA,2013,53.32257401
EA,2014,53.23578033
EA,2015,52.82627903
EA,2016,52.9626367
EA,2017,52.97255531
EA,2018,53.37992295
EA,2019,53.57096132
EA,2020,54.66640778
EA,2021,53.68912494
EA,2022,52.91697288
ISL,1995,59.56796354
ISL,1996,61.69687418
ISL,1997,56.05974279
ISL,1998,57.52844627
ISL,1999,60.80390548
ISL,2000,61.0429277
ISL,2001,58.40548402
ISL,2002,58.81643265
ISL,2003,61.25625903
ISL,2004,61.29873791
ISL,2005,64.00994765
ISL,2006,64.80427147
ISL,2007,64.68044416
ISL,2008,56.92808091
ISL,2009,50.07982122
ISL,2010,51.18034573
ISL,2011,53.455409
ISL,2012,54.71214172
ISL,2013,55.33794466
ISL,2014,55.66719587
ISL,2015,55.81233201
ISL,2016,57.61307072
ISL,2017,60.80026011
ISL,2018,62.06544673
ISL,2019,59.54329121
ISL,2020,59.70156371
ISL,2021,58.8032232
ISL,2022,58.06447485
ZAF,1995,53.90914616
ZAF,1996,53.42691767
ZAF,1997,53.53943858
ZAF,1998,54.7108535
ZAF,1999,54.32343203
ZAF,2000,52.21636441
ZAF,2001,50.5248174
ZAF,2002,47.80255781
ZAF,2003,48.32634169
ZAF,2004,48.67675776
ZAF,2005,48.41909031
ZAF,2006,48.56199317
ZAF,2007,48.24319973
ZAF,2008,48.96228275
ZAF,2009,49.17524408
ZAF,2010,49.9487963
ZAF,2011,50.79054846
ZAF,2012,52.02562986
ZAF,2013,52.95638061
