LOCATION,DATE,CLIR
DEN,1/31/93,8.65
DEN,2/28/93,8.63
DEN,3/31/93,8.18
DEN,4/30/93,7.79
DEN,5/31/93,7.56
DEN,6/30/93,7.18
DEN,7/31/93,7.05
DEN,8/31/93,6.73
DEN,9/30/93,6.77
DEN,10/31/93,6.47
DEN,11/30/93,6.41
DEN,12/31/93,6.22
DEN,1/31/94,6.02
DEN,2/28/94,6.27
DEN,3/31/94,6.69
DEN,4/30/94,7.03
DEN,5/31/94,7.41
DEN,6/30/94,8.17
DEN,7/31/94,8.15
DEN,8/31/94,8.57
DEN,9/30/94,9.09
DEN,10/31/94,8.92
DEN,11/30/94,8.83
DEN,12/31/94,8.77
DEN,1/31/95,9.07
DEN,2/28/95,8.86
DEN,3/31/95,8.96
DEN,4/30/95,8.75
DEN,5/31/95,8.32
DEN,6/30/95,8.27
DEN,7/31/95,8.34
DEN,8/31/95,8.09
DEN,9/30/95,7.84
DEN,10/31/95,7.88
DEN,11/30/95,7.57
DEN,12/31/95,7.3
DEN,1/31/96,7.04
DEN,2/29/96,7.41
DEN,3/31/96,7.6
DEN,4/30/96,7.34
DEN,5/31/96,7.39
DEN,6/30/96,7.5
DEN,7/31/96,7.36
DEN,8/31/96,7.26
DEN,9/30/96,7.18
DEN,10/31/96,6.83
DEN,11/30/96,6.79
DEN,12/31/96,6.63
DEN,1/31/97,6.49
DEN,2/28/97,6.25
DEN,3/31/97,6.47
DEN,4/30/97,6.62
DEN,5/31/97,6.44
DEN,6/30/97,6.4
DEN,7/31/97,6.11
DEN,8/31/97,6.24
DEN,9/30/97,6.16
DEN,10/31/97,6.07
DEN,11/30/97,6.06
DEN,12/31/97,5.74
DEN,1/31/98,5.42
DEN,2/28/98,5.32
DEN,3/31/98,5.17
DEN,4/30/98,5.13
DEN,5/31/98,5.24
DEN,6/30/98,4.99
DEN,7/31/98,4.91
DEN,8/31/98,4.81
DEN,9/30/98,4.74
DEN,10/31/98,4.67
DEN,11/30/98,4.59
DEN,12/31/98,4.27
DEN,1/31/99,4.04
DEN,2/28/99,4.19
DEN,3/31/99,4.43
DEN,4/30/99,4.22
DEN,5/31/99,4.46
DEN,6/30/99,4.81
DEN,7/31/99,5.12
DEN,8/31/99,5.38
DEN,9/30/99,5.56
DEN,10/31/99,5.76
DEN,11/30/99,5.45
DEN,12/31/99,5.5
DEN,1/31/00,5.87
DEN,2/29/00,5.85
DEN,3/31/00,5.65
DEN,4/30/00,5.57
DEN,5/31/00,5.77
DEN,6/30/00,5.67
DEN,7/31/00,5.76
DEN,8/31/00,5.64
DEN,9/30/00,5.66
DEN,10/31/00,5.57
DEN,11/30/00,5.49
DEN,12/31/00,5.2
DEN,1/31/01,5.09
DEN,2/28/01,5.06
DEN,3/31/01,4.95
DEN,4/30/01,5.14
DEN,5/31/01,5.35
DEN,6/30/01,5.33
DEN,7/31/01,5.32
DEN,8/31/01,5.12
DEN,9/30/01,5.11
DEN,10/31/01,4.86
DEN,11/30/01,4.67
DEN,12/31/01,4.97
DEN,1/31/02,5.08
DEN,2/28/02,5.15
DEN,3/31/02,5.4
DEN,4/30/02,5.4
DEN,5/31/02,5.42
DEN,6/30/02,5.27
DEN,7/31/02,5.13
DEN,8/31/02,4.88
DEN,9/30/02,4.74
DEN,10/31/02,4.81
DEN,11/30/02,4.79
DEN,12/31/02,4.61
DEN,1/31/03,4.43
DEN,2/28/03,4.21
DEN,3/31/03,4.26
DEN,4/30/03,4.41
DEN,5/31/03,4.09
DEN,6/30/03,3.85
DEN,7/31/03,4.17
DEN,8/31/03,4.35
DEN,9/30/03,4.4
DEN,10/31/03,4.44
DEN,11/30/03,4.57
DEN,12/31/03,4.52
DEN,1/31/04,4.35
DEN,2/29/04,4.3
DEN,3/31/04,4.1
DEN,4/30/04,4.3
DEN,5/31/04,4.46
DEN,6/30/04,4.53
DEN,7/31/04,4.62
DEN,8/31/04,4.45
DEN,9/30/04,4.38
DEN,10/31/04,4.23
DEN,11/30/04,4.09
DEN,12/31/04,3.85
DEN,1/31/05,3.74
DEN,2/28/05,3.64
DEN,3/31/05,3.82
DEN,4/30/05,3.58
DEN,5/31/05,3.39
