DATE,Austria,Belgium,Germany,Estonia,Finland,France,Greece,Ireland,Netherlands,Bank interest rates - loans to corporations of up to EUR 0.25M with a floating rate and an IRF period of up to three months (new business) - Portugal (MIR.M.PT.B.A2A.D.R.2.2240.EUR.N),Slovenia 
12/31/06,,,,,,,,,,,
1/31/07,,,,,,,,,,,
2/28/07,,,,,,,,,,,
3/31/07,,,,,,,,,,,
4/30/07,,,,,,,,,,,
5/31/07,,,,,,,,,,,
6/30/07,,,,,,,,,,,
7/31/07,,,,,,,,,,,
8/31/07,,,,,,,,,,,
9/30/07,,,,,,,,,,,
10/31/07,,,,,,,,,,,
11/30/07,,,,,,,,,,,
12/31/07,,,,,,,,,,,
1/31/08,,,,,,,,,,,
2/29/08,,,,,,,,,,,
3/31/08,,,,,,,,,,,
4/30/08,,,,,,,,,,,
5/31/08,,,,,,,,,,,
6/30/08,,,,,,,,,,,
7/31/08,,,,,,,,,,,
8/31/08,,,,,,,,,,,
9/30/08,,,,,,,,,,,
10/31/08,,,,,,,,,,,
11/30/08,,,,,,,,,,,
12/31/08,,,,,,,,,,,
1/31/09,,,,,,,,,,,
2/28/09,,,,,,,,,,,
3/31/09,,,,,,,,,,,
4/30/09,,,,,,,,,,,
5/31/09,,,,,,,,,,,
6/30/09,,,,,,,,,,,
7/31/09,,,,,,,,,,,
8/31/09,,,,,,,,,,,
9/30/09,,,,,,,,,,,
10/31/09,,,,,,,,,,,
11/30/09,,,,,,,,,,,
12/31/09,,,,,,,,,,,
1/31/10,,,,,,,,,,,
2/28/10,,,,,,,,,,,
3/31/10,,,,,,,,,,,
4/30/10,,,,,,,,,,,
5/31/10,,,,,,,,,,,
6/30/10,2.74,,4.66,4.41,3.26,2.4,6.5,,,,5.1
7/31/10,2.77,,4.22,6.43,2.92,2.39,6.83,,,,5.57
8/31/10,2.87,,4.38,6.22,3,2.68,6.99,,,,5.38
9/30/10,2.91,,4.66,6.15,2.94,2.58,6.7,,,,5.5
10/31/10,2.92,,4.1,5.71,3.17,2.52,6.65,,,,5.43
11/30/10,2.93,,4.57,5.19,3.12,2.7,6.95,,,,5.45
12/31/10,2.69,,4.74,6.05,2.93,2.78,7.16,,,,5.47
1/31/11,2.87,2.75,4.04,4.7,2.49,2.71,7.01,,,,5.48
2/28/11,3.08,2.8,4.53,5.44,3.2,2.71,7.13,,,,5.69
3/31/11,3,2.83,4.68,5.36,3.18,2.76,7,,,,5.71
4/30/11,3.13,3.02,4.35,5.04,3.33,2.8,7.03,,,,5.79
5/31/11,3.01,3.08,4.68,5.16,3.23,2.98,7.36,,,7.45,5.82
6/30/11,3.23,2.91,4.71,4.67,3.21,3.15,7.32,,,7.74,5.92
7/31/11,3.35,3.09,4.4,4.26,3.59,3.35,7.41,,,7.91,5.93
8/31/11,3.52,2.94,4.67,4.89,3.36,3.47,7.55,,,8.17,5.83
9/30/11,3.39,3.07,4.81,4.84,3.44,3.43,7.78,,,8.03,5.97
10/31/11,3.32,2.99,4.56,4.79,3.31,3.37,7.95,,,8.29,6.12
11/30/11,3.34,2.96,4.53,4.94,3.46,3.39,7.74,,,8.46,6.06
12/31/11,3.22,2.93,4.7,4.98,3.58,3.4,7.84,,,8.39,6.01
1/31/12,3.28,2.74,4.26,4.62,3.61,3.2,8.11,,,8.51,5.89
2/29/12,3.19,2.39,4.41,4.92,3.56,3.11,7.84,,,8.52,6.22
3/31/12,3.23,2.55,4.48,4.78,3.22,2.95,7.79,,,8.35,5.86
4/30/12,3.06,2.48,4.3,4.08,3.15,2.86,7.68,,,8.21,5.78
5/31/12,3.07,2.29,4.26,4.11,3.09,2.7,7.61,,,8.26,5.68
6/30/12,2.95,2.4,4.46,3.09,3.19,2.63,7.64,,,8.06,5.65
7/31/12,2.84,2.27,4.03,3.78,3.12,2.51,7.7,,,7.97,5.62
8/31/12,2.83,2.51,3.82,4.05,3.17,2.13,7.26,,,7.93,5.57
9/30/12,2.84,2.46,4.11,3.55,3.06,2.05,7.5,,,7.69,5.47
10/31/12,2.64,2.38,3.95,3.82,2.94,2.17,7.51,,,7.64,5.5
11/30/12,2.67,2.36,3.63,3.64,2.93,2.16,7.4,,,7.53,5.44
12/31/12,2.55,2.24,3.71,3.97,3.02,2.09,7.02,,,7.36,5.63
1/31/13,2.58,2.12,3.73,3.31,3.04,1.99,7.28,,,7.52,5.57
