LOCATION,TIME,EMP
AUS,1995-Q1,67.09098
AUS,1995-Q2,67.61976
AUS,1995-Q3,67.81106
AUS,1995-Q4,67.92979
AUS,1996-Q1,67.89287
AUS,1996-Q2,67.76708
AUS,1996-Q3,67.56139
AUS,1996-Q4,67.44862
AUS,1997-Q1,67.43929
AUS,1997-Q2,67.24577
AUS,1997-Q3,67.18067
AUS,1997-Q4,67.48669
AUS,1998-Q1,67.5249
AUS,1998-Q2,67.72675
AUS,1998-Q3,67.87541
AUS,1998-Q4,68.03841
AUS,1999-Q1,67.99277
AUS,1999-Q2,68.06248
AUS,1999-Q3,68.2617
AUS,1999-Q4,68.5567
AUS,2000-Q1,68.51747
AUS,2000-Q2,69.11311
AUS,2000-Q3,69.65802
AUS,2000-Q4,69.05267
AUS,2001-Q1,68.90578
AUS,2001-Q2,69.13612
AUS,2001-Q3,69.03476
AUS,2001-Q4,68.97187
AUS,2002-Q1,69.0402
AUS,2002-Q2,69.08317
AUS,2002-Q3,69.42125
AUS,2002-Q4,69.77407
AUS,2003-Q1,70.15444
AUS,2003-Q2,69.85237
AUS,2003-Q3,69.85674
AUS,2003-Q4,70.07011
AUS,2004-Q1,69.98953
AUS,2004-Q2,70.17777
AUS,2004-Q3,70.18668
AUS,2004-Q4,70.79011
AUS,2005-Q1,71.17281
AUS,2005-Q2,71.57612
AUS,2005-Q3,71.71719
AUS,2005-Q4,71.61091
AUS,2006-Q1,71.63669
AUS,2006-Q2,71.9687
AUS,2006-Q3,72.41865
AUS,2006-Q4,72.432
AUS,2007-Q1,72.48216
AUS,2007-Q2,72.76987
AUS,2007-Q3,72.88504
AUS,2007-Q4,73.05726
AUS,2008-Q1,73.23557
AUS,2008-Q2,73.30029
AUS,2008-Q3,73.18706
AUS,2008-Q4,73.00613
AUS,2009-Q1,72.46384
AUS,2009-Q2,72.04186
AUS,2009-Q3,71.73898
AUS,2009-Q4,71.92456
AUS,2010-Q1,72.10731
AUS,2010-Q2,72.06341
AUS,2010-Q3,72.45774
