LOCATION,DATE,CLIR
ESP,1/31/00,8.18
ESP,2/29/00,8.48
ESP,3/31/00,8.39
ESP,4/30/00,8.56
ESP,5/31/00,8.41
ESP,6/30/00,8.43
ESP,7/31/00,8.57
ESP,8/31/00,8.67
ESP,9/30/00,8.71
ESP,10/31/00,9.2
ESP,11/30/00,9.07
ESP,12/31/00,8.74
ESP,1/31/01,9.18
ESP,2/28/01,8.87
ESP,3/31/01,8.88
ESP,4/30/01,8.98
ESP,5/31/01,8.47
ESP,6/30/01,8.13
ESP,7/31/01,8.68
ESP,8/31/01,9.09
ESP,9/30/01,8.59
ESP,10/31/01,8.73
ESP,11/30/01,7.96
ESP,12/31/01,7.79
ESP,1/31/02,8.56
ESP,2/28/02,8.01
ESP,3/31/02,7.9
ESP,4/30/02,8.25
ESP,5/31/02,8.12
ESP,6/30/02,7.73
ESP,7/31/02,7.78
ESP,8/31/02,8.18
ESP,9/30/02,8.33
ESP,10/31/02,7.88
ESP,11/30/02,7.85
ESP,12/31/02,7.3
ESP,1/31/03,7.51
ESP,2/28/03,7.65
ESP,3/31/03,7.52
ESP,4/30/03,7.51
ESP,5/31/03,7.47
ESP,6/30/03,7.29
ESP,7/31/03,7.1
ESP,8/31/03,7.31
ESP,9/30/03,7.23
ESP,10/31/03,7.21
ESP,11/30/03,7.23
ESP,12/31/03,7.11
ESP,1/31/04,7.12
ESP,2/29/04,7.15
ESP,3/31/04,7.1
ESP,4/30/04,7.08
ESP,5/31/04,7.1
ESP,6/30/04,6.98
ESP,7/31/04,7
ESP,8/31/04,7.09
ESP,9/30/04,7.08
ESP,10/31/04,7.01
ESP,11/30/04,7
ESP,12/31/04,6.97
ESP,1/31/05,7.02
ESP,2/28/05,7.02
ESP,3/31/05,6.96
ESP,4/30/05,6.95
ESP,5/31/05,6.92
ESP,6/30/05,6.84
ESP,7/31/05,6.87
ESP,8/31/05,7
ESP,9/30/05,7.03
ESP,10/31/05,6.99
ESP,11/30/05,6.98
ESP,12/31/05,6.98
ESP,1/31/06,7.18
ESP,2/28/06,7.2
ESP,3/31/06,7.28
ESP,4/30/06,7.55
ESP,5/31/06,7.48
ESP,6/30/06,7.54
ESP,7/31/06,7.45
ESP,8/31/06,7.69
ESP,9/30/06,7.82
ESP,10/31/06,7.95
ESP,11/30/06,8.02
ESP,12/31/06,8.04
ESP,1/31/07,8.22
ESP,2/28/07,8.29
ESP,3/31/07,8.05
ESP,4/30/07,7.96
ESP,5/31/07,8.4
ESP,6/30/07,8.62
ESP,7/31/07,8.49
ESP,8/31/07,8.68
ESP,9/30/07,8.96
ESP,10/31/07,8.99
ESP,11/30/07,8.98
ESP,12/31/07,8.85
ESP,1/31/08,9.08
ESP,2/29/08,8.97
ESP,3/31/08,8.99
ESP,4/30/08,9.02
ESP,5/31/08,9.15
ESP,6/30/08,9.4
ESP,7/31/08,9.16
ESP,8/31/08,9.82
ESP,9/30/08,9.98
ESP,10/31/08,10.02
ESP,11/30/08,10.04
ESP,12/31/08,9.89
