LOCATION,TIME,HHDI
AUS,1995-Q1,
AUS,1995-Q2,
AUS,1995-Q3,
AUS,1995-Q4,
AUS,1996-Q1,
AUS,1996-Q2,
AUS,1996-Q3,
AUS,1996-Q4,
AUS,1997-Q1,
AUS,1997-Q2,
AUS,1997-Q3,
AUS,1997-Q4,
AUS,1998-Q1,
AUS,1998-Q2,
AUS,1998-Q3,
AUS,1998-Q4,
AUS,1999-Q1,
AUS,1999-Q2,
AUS,1999-Q3,
AUS,1999-Q4,
AUS,2000-Q1,
AUS,2000-Q2,
AUS,2000-Q3,
AUS,2000-Q4,
AUS,2001-Q1,
AUS,2001-Q2,
AUS,2001-Q3,
AUS,2001-Q4,
AUS,2002-Q1,
AUS,2002-Q2,
AUS,2002-Q3,
AUS,2002-Q4,
AUS,2003-Q1,
AUS,2003-Q2,
AUS,2003-Q3,
AUS,2003-Q4,
AUS,2004-Q1,
AUS,2004-Q2,
AUS,2004-Q3,
AUS,2004-Q4,
AUS,2005-Q1,
AUS,2005-Q2,
AUS,2005-Q3,
AUS,2005-Q4,
AUS,2006-Q1,
AUS,2006-Q2,
AUS,2006-Q3,
AUS,2006-Q4,
AUS,2007-Q1,
AUS,2007-Q2,1.43
AUS,2007-Q3,0.08
AUS,2007-Q4,1.16
AUS,2008-Q1,1.11
AUS,2008-Q2,0.12
AUS,2008-Q3,0.06
AUS,2008-Q4,5.15
AUS,2009-Q1,-2.25
AUS,2009-Q2,2.45
AUS,2009-Q3,-3.04
AUS,2009-Q4,0.77
AUS,2010-Q1,0.62
AUS,2010-Q2,0.08
AUS,2010-Q3,1.85
AUS,2010-Q4,2.21
AUS,2011-Q1,0.66
AUS,2011-Q2,-0.28
AUS,2011-Q3,0.54
AUS,2011-Q4,0.92
AUS,2012-Q1,-1.19
AUS,2012-Q2,0.72
AUS,2012-Q3,-2.54
AUS,2012-Q4,0.86
AUS,2013-Q1,0.73
AUS,2013-Q2,-0.2
AUS,2013-Q3,0.01
AUS,2013-Q4,0.99
AUS,2014-Q1,0.3
AUS,2014-Q2,1.09
AUS,2014-Q3,0.1
AUS,2014-Q4,0.55
AUS,2015-Q1,-0.35
AUS,2015-Q2,0.59
AUS,2015-Q3,-0.21
AUS,2015-Q4,-1.19
AUS,2016-Q1,0.25
AUS,2016-Q2,0.52
AUS,2016-Q3,0.01
AUS,2016-Q4,-0.07
AUS,2017-Q1,0.11
AUS,2017-Q2,-0.35
AUS,2017-Q3,0.04
AUS,2017-Q4,1.15
AUS,2018-Q1,-0.12
AUS,2018-Q2,0.22
AUS,2018-Q3,-0.05
AUS,2018-Q4,0.66
AUS,2019-Q1,0.16
AUS,2019-Q2,-0.8
AUS,2019-Q3,2.03
AUS,2019-Q4,-0.83
AUS,2020-Q1,0.91
AUS,2020-Q2,3.42
AUS,2020-Q3,3.51
AUS,2020-Q4,-2.59
AUS,2021-Q1,0.87
AUS,2021-Q2,-1.46
AUS,2021-Q3,3.97
AUS,2021-Q4,-1.35
AUS,2022-Q1,-0.37
AUS,2022-Q2,-1.59
AUS,2022-Q3,-0.7
AUS,2022-Q4,-2.85
AUS,2023-Q1,-1.09
AUS,2023-Q2,-0.53
AUT,1995-Q1,
AUT,1995-Q2,
AUT,1995-Q3,
AUT,1995-Q4,
AUT,1996-Q1,
AUT,1996-Q2,
AUT,1996-Q3,
AUT,1996-Q4,
AUT,1997-Q1,
AUT,1997-Q2,
AUT,1997-Q3,
AUT,1997-Q4,
AUT,1998-Q1,
AUT,1998-Q2,
AUT,1998-Q3,
AUT,1998-Q4,
AUT,1999-Q1,
AUT,1999-Q2,
AUT,1999-Q3,
AUT,1999-Q4,
AUT,2000-Q1,
AUT,2000-Q2,
AUT,2000-Q3,
AUT,2000-Q4,
AUT,2001-Q1,
AUT,2001-Q2,
AUT,2001-Q3,
AUT,2001-Q4,
AUT,2002-Q1,
AUT,2002-Q2,
AUT,2002-Q3,
AUT,2002-Q4,
AUT,2003-Q1,
AUT,2003-Q2,
AUT,2003-Q3,
AUT,2003-Q4,
AUT,2004-Q1,
AUT,2004-Q2,
AUT,2004-Q3,
AUT,2004-Q4,
AUT,2005-Q1,
AUT,2005-Q2,
AUT,2005-Q3,
AUT,2005-Q4,
AUT,2006-Q1,
AUT,2006-Q2,
AUT,2006-Q3,
AUT,2006-Q4,
AUT,2007-Q1,
AUT,2007-Q2,0.68
AUT,2007-Q3,1.09
AUT,2007-Q4,-1.13
AUT,2008-Q1,2.92
AUT,2008-Q2,-2.32
AUT,2008-Q3,-0.95
AUT,2008-Q4,0.93
AUT,2009-Q1,0.92
AUT,2009-Q2,-0.13
AUT,2009-Q3,-1.3
AUT,2009-Q4,-1.29
AUT,2010-Q1,0.51
AUT,2010-Q2,-0.05
AUT,2010-Q3,0.29
AUT,2010-Q4,-0.33
AUT,2011-Q1,-0.34
AUT,2011-Q2,-1.26
AUT,2011-Q3,0.99
AUT,2011-Q4,1.48
AUT,2012-Q1,0.65
AUT,2012-Q2,0.12
AUT,2012-Q3,-1.05
AUT,2012-Q4,-2.12
AUT,2013-Q1,0.35
AUT,2013-Q2,-1.18
AUT,2013-Q3,-0.1
AUT,2013-Q4,0.58
AUT,2014-Q1,0.29
AUT,2014-Q2,-1.56
AUT,2014-Q3,1.53
AUT,2014-Q4,0.15
AUT,2015-Q1,-0.76
AUT,2015-Q2,-1.02
AUT,2015-Q3,0.65
AUT,2015-Q4,-1.36
AUT,2016-Q1,2.46
AUT,2016-Q2,-1.11
AUT,2016-Q3,-0.1
AUT,2016-Q4,2.5
AUT,2017-Q1,-1.4
AUT,2017-Q2,1.93
AUT,2017-Q3,-1.08
AUT,2017-Q4,0.32
AUT,2018-Q1,0.71
AUT,2018-Q2,0.56
AUT,2018-Q3,-0.48
AUT,2018-Q4,-0.89
AUT,2019-Q1,1.77
AUT,2019-Q2,-1.22
AUT,2019-Q3,0.21
AUT,2019-Q4,0.78
AUT,2020-Q1,-4.3
AUT,2020-Q2,-2.94
AUT,2020-Q3,6.3
AUT,2020-Q4,0.89
AUT,2021-Q1,-2.46
AUT,2021-Q2,0.05
AUT,2021-Q3,3.31
AUT,2021-Q4,-1.72
AUT,2022-Q1,0.7
AUT,2022-Q2,-0.84
AUT,2022-Q3,7.06
AUT,2022-Q4,-6.99
AUT,2023-Q1,1.7
AUT,2023-Q2,-2.85
DNK,1995-Q1,
DNK,1995-Q2,
DNK,1995-Q3,
DNK,1995-Q4,
DNK,1996-Q1,
DNK,1996-Q2,
DNK,1996-Q3,
DNK,1996-Q4,
DNK,1997-Q1,
DNK,1997-Q2,
DNK,1997-Q3,
DNK,1997-Q4,
DNK,1998-Q1,
DNK,1998-Q2,
DNK,1998-Q3,
DNK,1998-Q4,
DNK,1999-Q1,
DNK,1999-Q2,
DNK,1999-Q3,
DNK,1999-Q4,
DNK,2000-Q1,
DNK,2000-Q2,
DNK,2000-Q3,
DNK,2000-Q4,
DNK,2001-Q1,
DNK,2001-Q2,
DNK,2001-Q3,
DNK,2001-Q4,
DNK,2002-Q1,
DNK,2002-Q2,
DNK,2002-Q3,
DNK,2002-Q4,
DNK,2003-Q1,
DNK,2003-Q2,
DNK,2003-Q3,
DNK,2003-Q4,
DNK,2004-Q1,
DNK,2004-Q2,
DNK,2004-Q3,
DNK,2004-Q4,
DNK,2005-Q1,
DNK,2005-Q2,
DNK,2005-Q3,
DNK,2005-Q4,
DNK,2006-Q1,
DNK,2006-Q2,
DNK,2006-Q3,
DNK,2006-Q4,
DNK,2007-Q1,
DNK,2007-Q2,-1.13
DNK,2007-Q3,1.93
DNK,2007-Q4,-0.2
DNK,2008-Q1,0.65
DNK,2008-Q2,-0.31
DNK,2008-Q3,0.44
DNK,2008-Q4,1.37
DNK,2009-Q1,-0.17
DNK,2009-Q2,-1.84
