LOCATION,TIME,HHSAV
AUS,1995,4.720235033
AUS,1996,6.253161393
AUS,1997,3.293847873
AUS,1998,0.767646301
AUS,1999,0.315686526
AUS,2000,1.591989195
AUS,2001,2.721199978
AUS,2002,-1.334020808
AUS,2003,-0.765395888
AUS,2004,0.27883171
AUS,2005,-0.825982271
AUS,2006,-0.20629131
AUS,2007,0.970453805
AUS,2008,7.686531458
AUS,2009,5.645295108
AUS,2010,7.363248676
AUS,2011,7.948585342
AUS,2012,6.541727372
AUS,2013,7.407071087
AUS,2014,7.612173147
AUS,2015,6.104797365
AUS,2016,5.483067864
AUS,2017,4.871475372
AUS,2018,5.706899105
AUS,2019,12.2218128
AUS,2020,15.33103285
AUS,2021,13.02784245
AUT,1995,14.65099484
AUT,1996,11.9397096
AUT,1997,10.4232015
AUT,1998,10.34552056
AUT,1999,11.88362999
AUT,2000,10.63236201
AUT,2001,9.022111553
AUT,2002,9.400174641
AUT,2003,9.648129255
AUT,2004,9.524268305
AUT,2005,11.1363954
AUT,2006,11.61963643
AUT,2007,12.41237573
AUT,2008,12.35452908
AUT,2009,11.39857513
AUT,2010,9.591830791
AUT,2011,7.881232569
AUT,2012,8.862548009
AUT,2013,7.113217781
AUT,2014,7.296401932
AUT,2015,6.736664891
AUT,2016,7.820431629
AUT,2017,7.517432082
AUT,2018,7.734904969
AUT,2019,7.886217631
AUT,2020,13.23182118
AUT,2021,11.17077219
AUT,2022,9.24805463
BEL,1995,15.781683
BEL,1996,13.94139968
BEL,1997,13.24442216
BEL,1998,12.43700265
BEL,1999,12.68316954
BEL,2000,11.45003139
BEL,2001,12.87305817
BEL,2002,12.45279195
BEL,2003,11.76971001
BEL,2004,10.48160732
BEL,2005,10.18473571
BEL,2006,10.85632649
BEL,2007,11.23807433
BEL,2008,11.88596584
BEL,2009,12.1672895
BEL,2010,9.25756708
BEL,2011,8.349677754
BEL,2012,7.86810855
BEL,2013,6.579136425
BEL,2014,6.405556126
BEL,2015,5.526058377
BEL,2016,5.44057453
BEL,2017,5.366834636
BEL,2018,4.661473999
BEL,2019,5.53656675
BEL,2020,14.05192345
BEL,2021,10.45686409
BEL,2022,5.7538594
CZE,1995,6.349319169
CZE,1996,7.049384053
CZE,1997,7.310351808
CZE,1998,6.031174012
CZE,1999,5.499605088
CZE,2000,6.481682388
CZE,2001,6.930446512
CZE,2002,6.960899795
CZE,2003,6.312135961
CZE,2004,5.6619478
CZE,2005,6.979040196
CZE,2006,8.432959236
CZE,2007,7.618001887
CZE,2008,6.854566347
CZE,2009,8.729704859
CZE,2010,7.981271833
CZE,2011,6.594141032
CZE,2012,6.886821967
CZE,2013,6.361262358
CZE,2014,7.396015919
CZE,2015,7.036280957
CZE,2016,6.280564912
CZE,2017,6.999966948
CZE,2018,7.541813853
CZE,2019,8.536567265
CZE,2020,14.72503452
CZE,2021,14.78131656
CZE,2022,11.7164104
DNK,1995,-0.711369612
DNK,1996,-2.213616522
DNK,1997,-5.090624013
DNK,1998,-3.518602655
DNK,1999,-7.014292762
DNK,2000,-5.693942348
DNK,2001,0.353706452
DNK,2002,1.412260242
DNK,2003,2.18458284
DNK,2004,-1.90641469
DNK,2005,-4.272723521
DNK,2006,-1.525675758
DNK,2007,-3.033895175
DNK,2008,-4.099243166
DNK,2009,0.65682461
DNK,2010,1.837064158
DNK,2011,0.799634991
DNK,2012,0.122214384
DNK,2013,2.339886842
DNK,2014,-2.898057536
DNK,2015,3.908631984
DNK,2016,5.613164192
DNK,2017,6.0336031
DNK,2018,5.424600994
DNK,2019,4.28351761
DNK,2020,5.698015455
DNK,2021,2.545705334
DNK,2022,6.820327902
FIN,1995,3.949583046
FIN,1996,0.359787157
FIN,1997,2.102255692
FIN,1998,0.715185092
FIN,1999,2.794285983
FIN,2000,2.633464708
FIN,2001,1.884585206
FIN,2002,2.013101571
FIN,2003,1.526458173
FIN,2004,2.453773984
FIN,2005,0.50873862
FIN,2006,-1.029839542
FIN,2007,-0.703710271
FIN,2008,-0.406593522
FIN,2009,3.290883487
FIN,2010,3.266773475
FIN,2011,1.052829479
FIN,2012,0.352199873
FIN,2013,0.947506867
FIN,2014,-0.002659574
FIN,2015,-0.464174781
FIN,2016,-1.388960382
FIN,2017,-0.933818841
FIN,2018,-0.840500232
FIN,2019,0.386347476
FIN,2020,4.60767031
FIN,2021,2.826140014
FIN,2022,-0.863487562
FRA,1995,9.08863995
FRA,1996,8.443745938
FRA,1997,9.455607782
FRA,1998,8.95148869
FRA,1999,8.695202936
FRA,2000,8.673697586
FRA,2001,9.370043166
FRA,2002,10.39078772
FRA,2003,9.598708181
FRA,2004,9.648766573
FRA,2005,8.501783648
FRA,2006,9.046199634
FRA,2007,9.432184461
FRA,2008,9.251107216
FRA,2009,10.59436674
FRA,2010,10.45305885
FRA,2011,9.943415339
FRA,2012,9.997267559
FRA,2013,8.521576976
FRA,2014,8.855639754
FRA,2015,8.328067581
FRA,2016,8.1829446
FRA,2017,8.369691547
FRA,2018,8.620478085
FRA,2019,9.17383242
FRA,2020,15.19088165
FRA,2021,13.06023908
FRA,2022,11.19588433
DEU,1995,11.38203891
DEU,1996,10.94203107
DEU,1997,10.55075212
DEU,1998,10.40459055
DEU,1999,9.822039379
DEU,2000,9.331702315
DEU,2001,9.992838779
DEU,2002,10.08379804
DEU,2003,10.55142081
DEU,2004,10.62403253
DEU,2005,10.5626812
DEU,2006,10.63648548
DEU,2007,10.69540337
DEU,2008,10.91175023
DEU,2009,10.37442571
DEU,2010,10.30679722
DEU,2011,10.02073603
DEU,2012,9.651893613
DEU,2013,9.28901314
DEU,2014,9.836213015
DEU,2015,10.06374208
DEU,2016,10.19626626
DEU,2017,10.643063
DEU,2018,11.29437393
DEU,2019,10.8591744
DEU,2020,16.52359561
DEU,2021,14.91621666
DEU,2022,11.14215257
GRC,2010,-4.115802942
GRC,2011,-9.102765944
GRC,2012,-15.21949354
GRC,2013,-17.24519039
GRC,2014,-13.59949883
GRC,2015,-11.55463554
GRC,2016,-11.05562603
GRC,2017,-14.20022962
GRC,2018,-14.70393537
GRC,2019,-9.974259764
GRC,2020,-6.257759713
GRC,2021,-4.945369951
GRC,2022,-11.31316906
HUN,1995,13.43856906
HUN,1996,12.94014054
HUN,1997,11.54057401
HUN,1998,10.51301511
HUN,1999,6.59549738
HUN,2000,4.500051028
HUN,2001,5.281997291
HUN,2002,2.859215891
HUN,2003,1.623768344
HUN,2004,5.876069538
HUN,2005,7.562029332
HUN,2006,8.151468095
HUN,2007,3.879949259
HUN,2008,3.467229252
HUN,2009,5.63225172
HUN,2010,5.986958887
HUN,2011,6.530749324
HUN,2012,4.874205884
HUN,2013,6.874263438
HUN,2014,7.512278642
HUN,2015,7.335910486
HUN,2016,7.005866149
HUN,2017,8.095643547
HUN,2018,10.85668187
HUN,2019,10.48237166
HUN,2020,11.06486684
HUN,2021,13.0974922
HUN,2022,8.463591636
IRL,1995,5.504679253
IRL,1996,4.966449939
IRL,1997,4.395745181
IRL,1998,4.613527517
IRL,1999,0.872070192
IRL,2000,-2.837678881
IRL,2001,2.028218938
IRL,2002,0.364491531
IRL,2003,1.310365101
IRL,2004,1.909471491
IRL,2005,2.60099386
IRL,2006,0.70398901
IRL,2007,0.379543178
IRL,2008,6.095430377
IRL,2009,11.20329774
IRL,2010,9.820721378
IRL,2011,5.01187042
IRL,2012,6.807067214
IRL,2013,4.568489106
IRL,2014,2.366059794
IRL,2015,3.314877708
IRL,2016,2.442951681
IRL,2017,5.582127779
IRL,2018,4.783210149
IRL,2019,5.728853847
IRL,2020,21.61064583
IRL,2021,20.2338628
ITA,1995,16.15784005
ITA,1996,16.60189287
ITA,1997,13.76314695
ITA,1998,9.972969699
ITA,1999,8.846451003
ITA,2000,7.363453153
ITA,2001,8.828806174
ITA,2002,9.571921711
ITA,2003,9.075126812
ITA,2004,9.487911758
ITA,2005,8.904162198
ITA,2006,8.30483552
ITA,2007,7.814942946
ITA,2008,7.381845433
ITA,2009,6.7597396
ITA,2010,3.934462669
ITA,2011,3.407302389
ITA,2012,1.473391753
ITA,2013,3.293167376
ITA,2014,3.691133811
ITA,2015,2.886238011
ITA,2016,3.003703936
ITA,2017,2.561679698
ITA,2018,2.543259079
ITA,2019,2.383710242
ITA,2020,10.21154902
ITA,2021,8.083314285
ITA,2022,1.821096542
JPN,1995,11.64222783
JPN,1996,10.20591286
JPN,1997,10.24288443
JPN,1998,11.32514197
JPN,1999,9.65465201
JPN,2000,8.069599802
JPN,2001,4.135877058
JPN,2002,2.768917395
JPN,2003,2.371642117
JPN,2004,2.168521658
JPN,2005,2.686006151
JPN,2006,3.254505418
JPN,2007,3.459808968
JPN,2008,3.384492265
JPN,2009,4.300006377
JPN,2010,3.311720219
JPN,2011,3.565338739
JPN,2012,2.329454293
JPN,2013,0.058224586
JPN,2014,-0.78015535
JPN,2015,0.127010965
JPN,2016,1.949740662
JPN,2017,1.602359039
JPN,2018,1.775875172
JPN,2019,3.363326655
JPN,2020,11.4466441
JPN,2021,7.790929156
KOR,2005,4.605660956
KOR,2006,2.990308267
KOR,2007,2.05836731
KOR,2008,2.59006536
KOR,2009,3.494809431
KOR,2010,3.17578903
KOR,2011,2.545574596
KOR,2012,3.162468103
KOR,2013,5.210475097
KOR,2014,6.832806256
KOR,2015,9.62962073
KOR,2016,8.659636008
KOR,2017,7.54196167
KOR,2018,7.172856697
KOR,2019,8.129197546
KOR,2020,14.67757962
KOR,2021,12.61707703
KOR,2022,10.80767196
LUX,1995,8.314265986
LUX,1996,5.387196349
LUX,1997,7.347701726
LUX,1998,3.443177792
LUX,1999,3.517114581
LUX,2000,5.851324828
LUX,2001,6.551687774
LUX,2002,8.150666784
LUX,2003,6.366491607
LUX,2004,6.117089791
LUX,2005,5.181736502
LUX,2006,4.523403697
LUX,2007,4.995082713
LUX,2008,5.211353579
LUX,2009,7.31622328
LUX,2010,5.489362254
LUX,2011,6.148773751
LUX,2012,6.384089336
LUX,2013,9.868784073
LUX,2014,9.747225122
LUX,2015,7.385052183
LUX,2016,5.960339595
LUX,2017,7.414973816
LUX,2018,6.56016221
LUX,2019,8.795313805
LUX,2020,20.63767337
LUX,2021,12.20049837
LUX,2022,11.61084863
MEX,2003,5.099583491
MEX,2004,5.846324181
MEX,2005,5.981573967
