LOCATION,DATE,Interest_Rate
AUT,3/31/00,
AUT,6/30/00,
AUT,9/30/00,
AUT,12/31/00,
AUT,3/31/01,
AUT,6/30/01,
AUT,9/30/01,
AUT,12/31/01,
AUT,3/31/02,
AUT,6/30/02,
AUT,9/30/02,
AUT,12/31/02,
AUT,3/31/03,6.62
AUT,6/30/03,6.31
AUT,9/30/03,6.11
AUT,12/31/03,6.04
AUT,3/31/04,6.08
AUT,6/30/04,5.64
AUT,9/30/04,5.62
AUT,12/31/04,5.5
AUT,3/31/05,5.49
AUT,6/30/05,5.52
AUT,9/30/05,5.41
AUT,12/31/05,5.37
AUT,3/31/06,5.56
AUT,6/30/06,5.73
AUT,9/30/06,5.96
AUT,12/31/06,6.06
AUT,3/31/07,6.26
AUT,6/30/07,6.4
AUT,9/30/07,6.65
AUT,12/31/07,6.8
AUT,3/31/08,6.82
AUT,6/30/08,6.82
AUT,9/30/08,7.07
AUT,12/31/08,7.01
AUT,3/31/09,5.94
AUT,6/30/09,5.22
AUT,9/30/09,4.86
AUT,12/31/09,4.54
AUT,3/31/10,4.5
AUT,6/30/10,4.28
AUT,9/30/10,4.2
AUT,12/31/10,4.16
AUT,3/31/11,4.26
AUT,6/30/11,4.42
AUT,9/30/11,4.59
AUT,12/31/11,4.47
AUT,3/31/12,4.4
AUT,6/30/12,4.08
AUT,9/30/12,3.97
AUT,12/31/12,3.69
AUT,3/31/13,3.63
AUT,6/30/13,3.67
AUT,9/30/13,3.7
AUT,12/31/13,3.61
AUT,3/31/14,3.76
AUT,6/30/14,3.75
AUT,9/30/14,3.7
AUT,12/31/14,3.55
AUT,3/31/15,3.55
AUT,6/30/15,3.48
AUT,9/30/15,3.48
AUT,12/31/15,3.37
AUT,3/31/16,3.42
AUT,6/30/16,3.36
AUT,9/30/16,3.32
AUT,12/31/16,3.26
AUT,3/31/17,3.09
AUT,6/30/17,3
AUT,9/30/17,2.98
AUT,12/31/17,3.04
AUT,3/31/18,3.08
AUT,6/30/18,3.11
AUT,9/30/18,3.2
AUT,12/31/18,3.11
AUT,1/31/19,2.21
AUT,4/30/19,2.21
AUT,7/31/19,2.26
AUT,10/31/19,2.21
AUT,1/31/20,2.26
AUT,4/30/20,2.05
AUT,7/31/20,2.08
AUT,10/31/20,2.13
AUT,1/31/21,2.09
AUT,4/30/21,2.04
AUT,7/31/21,2.2
AUT,10/31/21,2.12
AUT,1/31/22,2.1
AUT,4/30/22,2.14
