LOCATION,TIME,SHPRICE
AUS,1995-Q1,33.35089
AUS,1995-Q2,35.95206
AUS,1995-Q3,37.92205
AUS,1995-Q4,38.15328
AUS,1996-Q1,40.04256
AUS,1996-Q2,39.83682
AUS,1996-Q3,39.16984
AUS,1996-Q4,41.76069
AUS,1997-Q1,43.31374
AUS,1997-Q2,45.05372
AUS,1997-Q3,47.66763
AUS,1997-Q4,45.67761
AUS,1998-Q1,47.62333
AUS,1998-Q2,48.703
AUS,1998-Q3,46.93147
AUS,1998-Q4,46.92661
AUS,1999-Q1,50.79559
AUS,1999-Q2,53.47079
AUS,1999-Q3,53.45441
AUS,1999-Q4,53.52481
AUS,2000-Q1,57.14708
AUS,2000-Q2,56.61853
AUS,2000-Q3,60.17802
AUS,2000-Q4,59.63087
AUS,2001-Q1,59.79416
AUS,2001-Q2,61.1128
AUS,2001-Q3,59.67142
AUS,2001-Q4,59.83873
AUS,2002-Q1,62.59467
AUS,2002-Q2,60.93627
AUS,2002-Q3,56.72178
AUS,2002-Q4,54.72005
AUS,2003-Q1,52.82389
AUS,2003-Q2,54.62437
AUS,2003-Q3,57.24477
AUS,2003-Q4,58.85683
AUS,2004-Q1,60.84338
AUS,2004-Q2,62.71079
AUS,2004-Q3,64.69377
AUS,2004-Q4,70.09274
AUS,2005-Q1,75.34128
AUS,2005-Q2,74.87832
AUS,2005-Q3,80.60666
AUS,2005-Q4,83.12486
AUS,2006-Q1,89.16889
AUS,2006-Q2,93.37054
AUS,2006-Q3,91.60742
AUS,2006-Q4,98.64959
AUS,2007-Q1,106.0226
AUS,2007-Q2,113.7769
AUS,2007-Q3,113.2666
AUS,2007-Q4,119.1082
AUS,2008-Q1,101.8862
AUS,2008-Q2,101.4075
AUS,2008-Q3,90.06924
AUS,2008-Q4,70.30481
AUS,2009-Q1,63.21585
AUS,2009-Q2,69.62283
AUS,2009-Q3,78.54806
AUS,2009-Q4,85.77218
AUS,2010-Q1,86.50535
AUS,2010-Q2,84.16779
AUS,2010-Q3,81.68843
AUS,2010-Q4,85.41597
AUS,2011-Q1,87.09901
AUS,2011-Q2,85.81882
AUS,2011-Q3,77.89247
AUS,2011-Q4,76.11659
AUS,2012-Q1,77.19817
AUS,2012-Q2,76.5061
AUS,2012-Q3,77.84659
AUS,2012-Q4,82.02872
AUS,2013-Q1,89.82155
AUS,2013-Q2,90.36855
AUS,2013-Q3,92.70076
AUS,2013-Q4,96.33081
AUS,2014-Q1,96.9389
AUS,2014-Q2,99.32523
