LOCATION,TIME,TERMTRADE
AUS,1995,72.9001544
AUS,1996,75.0571771
AUS,1997,74.64151553
AUS,1998,70.97068813
AUS,1999,73.81311679
AUS,2000,75.04675994
AUS,2001,76.15379524
AUS,2002,77.28924263
AUS,2003,83.06072841
AUS,2004,90.91681926
AUS,2005,100.6094249
AUS,2006,107.7879586
AUS,2007,113.8732698
AUS,2008,122.0927985
AUS,2009,117.7097266
AUS,2010,141.7207413
AUS,2011,142.4165281
AUS,2012,128.8339064
AUS,2013,123.9677508
AUS,2014,111.1428659
AUS,2015,100
AUS,2016,114.2927372
AUS,2017,116.4846802
AUS,2018,123.1446465
AUS,2019,124.1593514
AUS,2020,136.6755181
AUS,2021,152.4308976
AUS,2022,149.7475444
AUT,1995,106.4072954
AUT,1996,104.8398466
AUT,1997,103.706729
AUT,1998,103.3157002
AUT,1999,102.7935077
AUT,2000,101.7467435
AUT,2001,101.9618204
AUT,2002,102.6850219
AUT,2003,103.5095072
AUT,2004,102.9655627
AUT,2005,102.1417651
AUT,2006,101.0236839
AUT,2007,100.5884362
AUT,2008,99.34630404
AUT,2009,101.2256466
AUT,2010,99.56306738
AUT,2011,97.84121802
AUT,2012,97.34409624
AUT,2013,97.48918486
AUT,2014,98.44285246
AUT,2015,100
AUT,2016,100.9819056
AUT,2017,99.79001581
AUT,2018,99.4644484
AUT,2019,98.88011049
AUT,2020,99.70393741
AUT,2021,99.07271741
AUT,2022,95.28441959
BEL,1995,106.2247223
BEL,1996,105.435023
BEL,1997,105.0942247
BEL,1998,105.6588335
BEL,1999,104.6776652
BEL,2000,102.8661218
BEL,2001,102.9284333
BEL,2002,103.5837824
BEL,2003,103.2971467
BEL,2004,102.4542672
BEL,2005,101.7387856
BEL,2006,101.0185082
BEL,2007,101.1747449
BEL,2008,98.53140401
BEL,2009,101.5059775
BEL,2010,99.7413952
BEL,2011,98.30814003
BEL,2012,98.31981353
BEL,2013,98.68077373
BEL,2014,99.01199793
BEL,2015,100
BEL,2016,100.8490183
BEL,2017,100.3489543
BEL,2018,99.57534936
BEL,2019,100.3202364
BEL,2020,100.9524835
BEL,2021,99.67429207
BEL,2022,96.01810254
CAN,1995,90.68697112
CAN,1996,92.32713885
CAN,1997,91.5410158
CAN,1998,87.90307407
CAN,1999,89.15295744
CAN,2000,92.95403842
CAN,2001,91.93619358
CAN,2002,89.77280147
CAN,2003,94.71831907
CAN,2004,98.93715484
CAN,2005,102.4207132
CAN,2006,103.5037108
CAN,2007,106.6086271
CAN,2008,111.2333702
CAN,2009,101.0976864
CAN,2010,106.4549761
CAN,2011,110.0250883
CAN,2012,108.3668564
CAN,2013,109.0477127
CAN,2014,107.5241466
CAN,2015,100
CAN,2016,98.89469354
CAN,2017,102.4901978
CAN,2018,102.8758212
CAN,2019,101.9807195
CAN,2020,98.58964789
CAN,2021,112.6197314
CAN,2022,118.5206575
CZE,1995,89.74809242
CZE,1996,93.48645118
CZE,1997,93.96117846
CZE,1998,99.03446358
CZE,1999,98.65878465
CZE,2000,95.68597706
CZE,2001,98.51808443
CZE,2002,102.1963113
CZE,2003,102.5024672
CZE,2004,103.6283837
CZE,2005,101.3833599
CZE,2006,99.33615419
CZE,2007,100.4316213
CZE,2008,99.19382091
CZE,2009,101.2167894
CZE,2010,99.2140372
CZE,2011,97.68161097
CZE,2012,97.12442258
CZE,2013,98.17910907
CZE,2014,99.61566023
CZE,2015,100
CZE,2016,101.0224033
CZE,2017,99.9913524
CZE,2018,100.0045719
CZE,2019,100.4918194
CZE,2020,102.0247178
CZE,2021,101.8717385
CZE,2022,98.12528644
DNK,1995,89.77981924
DNK,1996,90.99038713
DNK,1997,91.08867969
DNK,1998,90.7750214
DNK,1999,90.54561278
DNK,2000,91.12189812
DNK,2001,91.03901158
DNK,2002,92.05587949
DNK,2003,92.77520124
DNK,2004,93.56845641
DNK,2005,95.2986721
