DATE,USA_mort
1/6/95,9.22
1/13/95,9.19
1/20/95,9.05
1/27/95,9.13
2/3/95,8.94
2/10/95,8.8
2/17/95,8.84
2/24/95,8.73
3/3/95,8.53
3/10/95,8.62
3/17/95,8.38
3/24/95,8.4
3/31/95,8.38
4/7/95,8.41
4/14/95,8.37
4/21/95,8.24
4/28/95,8.26
5/5/95,8.27
5/12/95,7.87
5/19/95,7.83
5/26/95,7.85
6/2/95,7.71
6/9/95,7.51
6/16/95,7.55
6/23/95,7.53
6/30/95,7.53
7/7/95,7.63
7/14/95,7.41
7/21/95,7.6
7/28/95,7.79
8/4/95,7.82
8/11/95,7.8
8/18/95,7.94
8/25/95,7.88
9/1/95,7.76
9/8/95,7.63
9/15/95,7.6
9/22/95,7.57
9/29/95,7.62
10/6/95,7.57
10/13/95,7.5
10/20/95,7.38
10/27/95,7.45
11/3/95,7.44
11/9/95,7.37
11/17/95,7.35
11/24/95,7.35
12/1/95,7.33
12/8/95,7.18
12/15/95,7.15
12/22/95,7.23
12/29/95,7.11
1/5/96,7.02
1/12/96,7.08
1/19/96,7.02
1/26/96,7
2/2/96,7.02
2/9/96,7.02
2/16/96,6.94
2/23/96,7.32
3/1/96,7.41
3/8/96,7.38
3/15/96,7.83
3/22/96,7.81
3/29/96,7.69
4/5/96,7.78
4/12/96,8.05
4/19/96,7.95
4/26/96,7.92
5/3/96,7.99
5/10/96,8.24
5/17/96,8.08
5/24/96,8.01
5/31/96,8.03
6/7/96,8.3
6/14/96,8.39
6/21/96,8.3
6/28/96,8.29
7/5/96,8.14
7/12/96,8.42
7/19/96,8.23
7/26/96,8.19
8/2/96,8.23
8/9/96,7.88
8/16/96,7.88
8/23/96,7.93
8/30/96,8.09
9/6/96,8.34
9/13/96,8.28
9/20/96,8.14
9/27/96,8.16
10/4/96,8.06
10/11/96,7.86
10/18/96,7.88
10/25/96,7.86
11/1/96,7.78
11/8/96,7.67
11/15/96,7.59
11/22/96,7.53
11/29/96,7.52
12/6/96,7.44
12/13/96,7.57
12/20/96,7.74
12/27/96,7.64
1/3/97,7.67
1/10/97,7.85
1/17/97,7.87
1/24/97,7.85
1/31/97,7.88
2/7/97,7.74
2/14/97,7.65
2/21/97,7.56
2/28/97,7.65
3/7/97,7.84
3/14/97,7.84
3/21/97,7.94
3/28/97,7.97
4/4/97,8.18
4/11/97,8.15
4/18/97,8.16
4/25/97,8.08
5/2/97,8.01
5/9/97,7.94
5/16/97,7.91
5/23/97,7.92
5/30/97,7.94
6/6/97,7.85
6/13/97,7.72
6/20/97,7.61
6/27/97,7.58
7/4/97,7.62
7/11/97,7.47
7/18/97,7.47
7/25/97,7.43
8/1/97,7.36
8/8/97,7.46
8/15/97,7.54
8/22/97,7.46
8/29/97,7.58
9/5/97,7.53
9/12/97,7.53
9/19/97,7.38
9/26/97,7.28
10/3/97,7.31
10/10/97,7.26
10/17/97,7.34
10/24/97,7.35
10/31/97,7.21
11/7/97,7.24
11/14/97,7.23
11/21/97,7.18
