LOCATION,TIME,QGDP
KOR,1995-Q1,2.090489
KOR,1995-Q2,2.021825
KOR,1995-Q3,2.075873
KOR,1995-Q4,1.870552
KOR,1996-Q1,1.908135
KOR,1996-Q2,2.020152
KOR,1996-Q3,1.758931
KOR,1996-Q4,1.691579
KOR,1997-Q1,0.468064
KOR,1997-Q2,3.550553
KOR,1997-Q3,0.791744
KOR,1997-Q4,-0.455994
KOR,1998-Q1,-6.818022
KOR,1998-Q2,-0.807932
KOR,1998-Q3,1.747152
KOR,1998-Q4,2.49605
KOR,1999-Q1,3.034633
KOR,1999-Q2,4.383165
KOR,1999-Q3,2.781171
KOR,1999-Q4,2.886255
KOR,2000-Q1,1.895052
KOR,2000-Q2,1.33251
KOR,2000-Q3,2.754591
KOR,2000-Q4,-0.324458
KOR,2001-Q1,1.225555
KOR,2001-Q2,1.298881
KOR,2001-Q3,1.350194
KOR,2001-Q4,1.762586
KOR,2002-Q1,2.544482
KOR,2002-Q2,1.812135
KOR,2002-Q3,2.021813
KOR,2002-Q4,1.097354
KOR,2003-Q1,-0.65916
KOR,2003-Q2,-0.154147
KOR,2003-Q3,1.93267
KOR,2003-Q4,2.63948
KOR,2004-Q1,1.254801
KOR,2004-Q2,0.763499
KOR,2004-Q3,0.405586
KOR,2004-Q4,0.757934
KOR,2005-Q1,0.850903
KOR,2005-Q2,1.887063
KOR,2005-Q3,1.505331
KOR,2005-Q4,1.012464666
KOR,2006-Q1,1.639117138
KOR,2006-Q2,0.730602
KOR,2006-Q3,1.613955
KOR,2006-Q4,0.779358
KOR,2007-Q1,1.674044
KOR,2007-Q2,1.730291
KOR,2007-Q3,1.173831
KOR,2007-Q4,2.156949
KOR,2008-Q1,0.402395
KOR,2008-Q2,0.523473
KOR,2008-Q3,0.815881
KOR,2008-Q4,-3.283889
KOR,2009-Q1,0.089987
KOR,2009-Q2,1.332778
KOR,2009-Q3,2.992675
KOR,2009-Q4,0.746868
KOR,2010-Q1,1.959077
KOR,2010-Q2,1.899801
KOR,2010-Q3,1.155215
KOR,2010-Q4,1.219319
KOR,2011-Q1,0.933131
KOR,2011-Q2,0.490791
KOR,2011-Q3,0.526324
KOR,2011-Q4,0.472298
KOR,2012-Q1,0.865665953
KOR,2012-Q2,0.565974618
KOR,2012-Q3,0.45177694
KOR,2012-Q4,0.502248725
KOR,2013-Q1,0.859424906
KOR,2013-Q2,1.166152951
KOR,2013-Q3,0.856151759
KOR,2013-Q4,0.874915753
KOR,2014-Q1,0.85644443
KOR,2014-Q2,0.87160402
KOR,2014-Q3,0.319454245
KOR,2014-Q4,0.495085269
KOR,2015-Q1,0.761630954
KOR,2015-Q2,0.486137139
KOR,2015-Q3,1.46130046
KOR,2015-Q4,0.690195609
KOR,2016-Q1,0.272629303
KOR,2016-Q2,1.232503808
KOR,2016-Q3,0.408153887
KOR,2016-Q4,0.5997012
KOR,2017-Q1,0.977751925
KOR,2017-Q2,0.759515901
KOR,2017-Q3,1.394926941
KOR,2017-Q4,-0.323549159
KOR,2018-Q1,1.253680524
KOR,2018-Q2,0.688244533
KOR,2018-Q3,0.616673977
KOR,2018-Q4,0.644164091
KOR,2019-Q1,-0.067736397
KOR,2019-Q2,1.092481064
KOR,2019-Q3,0.415327871
KOR,2019-Q4,1.216302313
KOR,2020-Q1,-1.276259202
KOR,2020-Q2,-3.01546504
